Tweet,Label,Prediction
@USER @USER @USER We Agree #NHSENGLAND needs to #Publish #AandE figures over #HolidayPeriod  from #JeremyHunt,0,0
We 'll that was a great way to start off my morning :grinning_face: ,1,1
@USER : HTTPURL  true ... you can't replace your one and only mam .,0,1
Love watching #latenightfilms . Enjoyed #MockingjayPart1 @USER #didsbury . Ta @USER . #Grateful to have such a #goodfriend .,0,0
"sorry for being female , I did n't mean to interrupt your perfect little man-world . :unamused_face: ",1,0
"The whole #Misogyny thing is hanging in there with Women from the right  . A cat fight now ? , imagine pulling that on the left #pmlive",1,1
Being awake since 3AM is always so much fun ,1,0
Mary is not having that shit whatsoever . #done #shesdone :person_tipping_hand: HTTPURL,0,0
We live in such a small world these days - the #LAFire is a story at the end of the Australian news @USER,0,0
Your friends will bring you down because they fucked up what they had males & females  me fool !,0,1
3 hours sleep yay loving life ,1,1
I can't wait to jump in my bed tonight and sleep ! :sleeping_face: #sotired,0,1
Bush ' fully informed ' of CIA methods HTTPURL No ? ? Really ? ? Shocking ... ,1,1
"@USER @USER Ya , because if history has told us anything , it 's that betting on sports is a GREAT way to make money ! ",1,0
It 's freezing out there & very hazy ... Just want to go home .,0,0
"I THOUGHT WHAT WE HAD WAS REAL , HOW COULD YOU BE FINE ? COZ I'M NOT FINE AT ALL Oh wait . Fixed the caps lock ^ . ^  #LaughNow . o .",1,0
you know what would make break 1000000 x times better ? | | not having practice .,0,1
@USER Thank you ! I think i filled it out correctly,0,0
@USER miss u I 'm leaving on 7th so ... Need to see you before I go :weary_face: :weary_face: :weary_face:,0,0
> @USER Google Drive Review HTTPURL,0,1
"I 've visited 19 #US #States , 2 #Canadian #Provinces , & 11 #Countries total . ( Not the most , but not bad . )",0,0
Photo : 3pc Lace Corset Size : small - 2xl Price : $ 40.00 Leave size and email for invoice HTTPURL,0,0
Such quality customer service today by @USER for the Xbox One  #thisiscrap helpfulatall,1,0
"there is only 1 race , HUMAN so i dont look at things by the myth of "" races "" @USER @USER",0,1
A #Sagittarius will always chase what they want until they get it .. | #keepgoing HTTPURL,0,0
"the "" 2/3 = 75 % "" is also in the top 10 LOL @USER @USER @USER @USER",0,1
In other news i havent had a good nights sleep in a week . I feel great . ,1,1
Taking a final then going straight to work . I 'm just peachy about it . ,1,1
Ouch that hurt :face_with_tears_of_joy: ,1,1
Bummer ending ... But what a fun game and season . #Gophers,0,0
Yay for getting pink eye again !  #whyme,1,1
"Looking for @USER practitioners ... Anyone out there , or recommendations ?",0,1
Nice weekend off but back at work tonight . Over the fucking moon ,1,1
Christmas shopping on 2hrs sleep is going to be fun ! ! ! ,1,1
@USER oh so someone got in trouble for making fun of the people who behead innocent people ... nice ,1,0
@USER RT @USER : Baby name  . #dataviz | | Source : HTTPURL HTTPURL,0,1
 long to wait till released CO2 turns up temperature - HTTPURL HTTPURL,0,1
@USER @USER At least you got my joke,0,0
HEY LOOK THERE ! ,0,0
Baking bread and hanging with a glass of wine in leggings and a sweatshirt with football on . HEAVEN ! If only the snow had n't turned to rain .,0,0
 EBOLA | BUT GREED AKA BADMIND KILLS EASILY AND QUICKQUICK HTTPURL,0,1
"Standard Christmas newsfeed . Diamonds everywhere , everyone 's engaged . Congratulations . #original  #Christmas #engaged",1,0
that fits @USER @USER @USER @USER,0,1
Thanks GORI-san | #djgori  for sale HTTPURL,0,0
"If a foreign power hit Japan 's embassy in NYC with a missile , not really an attack on US . In that sense , I agree with you . @USER",0,0
Sorry this does n't make any sense why make it even more tough ? That 's going to produce more players ..  HTTPURL,1,0
:party_popper: It 's Monday ! :party_popper: ,1,1
@USER You blew my mind on #AHSFREAKSHOW You 're brilliant .,0,1
 is the name of the game . HTTPURL,0,1
YOU blame him for everything else @USER @USER @USER @USER @USER @USER @USER,0,1
"While we applauded ourselves on getting to the Moon , Carl Sagan spoke a truth we all denied . |  HTTPURL",1,1
Taking Over the mansion with the Mexicans  @USER,1,1
StephenFry : @USER Oooh - busted by superior understanding ... ! Crestfallen and shamed .  HTTPURL,1,0
Lord have mercy on us . The world 's most powerful nation is ruled by two families . #Bush #Clinton #wasps #elxn2016 HTTPURL,0,1
"Sad I do n't have a Christmas jumper , thanks @USER for your super fast delivery :thumbs_up: ",1,0
Stuck in the traffic at 7.55 am . Yuppy - . -  #happytuesday,1,1
"again , your myth of "" racist DNA "" is still only a figment of your delusional imagination @USER @USER @USER @USER",0,0
I still love the newsroom regardless of what everyone else thinks,0,0
"Sony Studio Bosses To Employees : Do n't Worry , We 'll Be Fine HTTPURL I know I 'd feel better .  HTTPURL",1,0
check it out ! HTTPURL ,0,1
#forgive #others  #because they #deserve #forgiveness #you #peace love this from @USER #words #wisdom ... HTTPURL,0,1
Just flossed and then ate right after #inconvenient ,1,0
All hell is breaking loose ... Ahhhh everybody freak out ,1,1
With no forwards . #confused  sure,0,1
Today I do n't feel like doing anything | ,1,0
@USER it 's finally open XD I used a youtube video to help me :) Thanks very much ;) HTTPURL,0,0
Bae had an energy drink and wants to stay up ... but I 'm so sleeeeeepy . #love #sleep,0,1
"Faux Leather Size Zipper Sleeveless Scoop Back Midi Dress | Size : s , m , l | Price : $ 39.99 | Leave email for ... HTTPURL",0,0
"Sooo mad right now , great way to start my day ",1,0
"@USER @USER good old JK landing people in trouble again , ffs William i thought you were more savvy than that ",1,1
"Pain is inevitable , suffering is optional | #Anonymous",0,1
@USER how do you like that loss son ?,0,0
@USER @USER wish I was there . maybe next year . I 'll be the one with the mad socks . no clothes . just socks .,0,1
#Patriots #report #card : #Grades  #half bad : Tom Brady throws under pressure in the 2nd quarter during Sundays HTTPURL,0,1
@USER sounds like the LA end of days ! ,1,0
A SMILE is a smile is a smile is a smile is a SMILE IS A MILLION PEOPLE STARING AT YOUR PISSED PANTS MANIC LAUGHTER smile,0,1
Finals Week is draining my body so much that it 's ruining my life in other places . Lovely ... ,1,1
"@USER add some "" Your Baby Can Read "" DVDs ... ya know ... just in case lol :smirking_face:",0,1
Welll helllo fever . Id say 103 is feelin real good today ,1,0
People are n't as beautiful as they look #people  #beautiful #look #walk #talk #personality #love #care #share HTTPURL,0,0
Sums up my week really  #NursingLife #WorkingDaysAndNights HTTPURL,1,1
"I guess I 'll eat leftovers for breakfast AGAIN , while others get black bear .. #cuzididntwantgoodfood  #truth #hungry :unamused_face: :thumbs_up:",1,0
Ca n't wait for my 7:30 am #dental appointment tomorrow ! | Oh time please speed through today !  !,1,1
"Grace is a free spirited 8 yr old with the most humble heart . Aspiring model / actress , she also enjoys #piano and dance.Follow > @USER",0,0
I 'm kinda missing summer @USER . | . | . | #summer #2o14 #bestie #alena #bestfriend #idek #we #cool  #chips #food #followme #ifoll ...,0,0
#All #And #For #Hot  #Rachel #style #fashion | Please RT : HTTPURL HTTPURL,0,0
NEW #HipHop MUSIC : > @USER - Crack Music : HTTPURL #JerseyCity #NJ #NY #BirthOfAWinner,0,1
@USER @USER it 's in my Priory contract to wear those . Hugely popular with Priory Ultras #does  #count #xxx,0,0
@USER I liked .. Do n't regret anything that made you smile ... Ha ha,0,0
 Bad Idea When You climb on the mountain HTTPURL,0,1
"not that it matters , a message board thread is not an authoritative source @USER @USER",0,1
 a Bad Gift : Wall Gives Gooden $ 100K Cash ( via HTTPURL ) HTTPURL,0,0
@USER @USER @USER @USER @USER @USER,0,1
Abraham was actually from modern day Iraq ( Ur of the Chaldea ) @USER @USER,0,1
@USER Scream this message : We want the security footage ! ! ! #AntonioMartin #Ferguson #EndRacism #SocialJustice #BlackLivesMatter,0,0
Happy 2nd anniversary to me in SGV . Happy OT here in client . Woohoo . I loooooove my job . Super . More years to go ! ! ! ,1,0
Gavaskar is a freakin ' genius .  HTTPURL,1,0
Shitty drivers are always fun . ,1,1
. @USER is at her best when she reports frm ' on the field ' . Not that she is bad at studio but on field she is a true story teller .,0,0
Is Obamacare Slowing Health Care Spending ?  HTTPURL via @USER,0,0
"Join @USER PromoTeam 's Official Fan List and receive news , events , and more ! HTTPURL",0,1
@USER @USER patio tumbler goodness #Mac12days,0,0
For 9 grand a year we definitely get all of the information we need in this practical class ,1,0
Thank God the #Knicks re-signed Carmelo .  #TheBullsCanHaveHim,1,0
"@USER now , to remember which book ... #goodluck",0,0
"@USER it could have happened to anyone . Your time will come , critics . Oops , apologies . A typical  - loving #Brit .",1,1
I just love EU servers ... ,1,0
"Day 9 "" something your reading "" #decemberchallenge #lovehistory #lovenonfiction .. :check_mark_button: @USER Our Cosy House HTTPURL",0,1
@USER To the officer 's defense ... that was a very scary looking phone .  #BlackLivesMatter,1,1
Aaaaaaaaand we 're back in the ER . Hooray for no sleep ! ,1,0
@USER The pace of KCRoyals activity at the Winter Meetings is giving me vertigo ! ,1,0
"@USER Hey Alex , thanks for the support . My FB page is : HTTPURL and success to you .",0,0
@USER He 's just trying to drive Suh 's price up . ,1,0
LoL game over Napoli win and they are better then Juve,0,1
"Workaholics : if you 're sick , do n't let that stop you from bringing your germs into the office . We all appreciate your commitment . ",1,0
My solo costume so far is Charcoal Grey Bottoms ... making some real progress . ,1,0
@USER @USER @USER sure that will end well ,1,0
Let 's all do only squats and deadlifts until we hurt ourselves - - really really good trainers #fitnessmotivation ,1,1
* gasp * The girls are at a rehearsal studio today ? You do n't say ... Hmmm wonder what on earth for ? :frog: :hot_beverage:  #MTVStars Little Mix,1,1
Thanks for the AWESOME support on our #instagram page . Much appreciated . HTTPURL #women #motivation #rolemode,0,1
@USER annnnddddddd your opinion is irrelevant,0,0
Full on man flu just in time for a weekend of work ! ! #awesome  #coldandflu,1,0
Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep,1,0
"@USER @USER @USER this is true , the Patriots , Packers , or Broncos could suddenly need a new coach  #itshappening",1,0
 just like that HTTPURL,0,1
@USER That 'll work ...  #HellBeFiredinElevenMonths,1,0
Feeling like crap . And being treated horribly too . It 's a great day .  #iwanttogohome,1,1
#we are  #perfect but it is #neccesary for #us to #be the #best # version of #ourselves HTTPURL,0,0
@USER Damn . That would have made excellent thing to recount in autobiography ;p,0,0
Every wondered what 's the Turkey 's take on #Thanksgiving ? HTTPURL HTTPURL,0,0
I love the meaningful messages of automake . ,1,1
@USER Makes me so proud to be an American ,1,0
@USER thanks for the spoiler ! ! ! ,1,0
It 's snowing in Chicago #whitechristmas ,1,0
WAIT the GA I have a crush on and emailed me and told me it was great to have me in class :smiling_face_with_heart-eyes: :red_heart: :face_blowing_a_kiss: he totally loves me ,1,0
I just love freezing rain . ,1,0
@USER another case of away the lads  or to put it in song tell me why we do n't do north london ! ! #TyneWeirSunday,1,0
Decemberbessen  #fail #footprint sorry ... HTTPURL,1,0
"@USER @USER . @USER has warned @USER about Bassem.Heck , they might already know him ! #Ferguson #NYC",0,1
@USER Thank you for staying Tom !,0,0
These girls can wake up people from the dead !  #worth #watching,0,0
wow they seem to be so turnt ,1,0
I love how when I 'm stressed my body decides to react by causing me massive pain . ,1,1
Nothing like the 24hr swing back to being a day walker to make you feel like a million bucks ...  #shiftworkerlife,1,0
@USER WHO LOOK SO MUCH ALIKE OMG lashwkaywiduwb ,0,0
"@USER @USER The link says "" The requested page could not be found . "" | | Was the  intentional ?",0,1
I 'm pretty sure this bad boy is worth at least 6 stokes per round ! #dreamon  @USER 913 miranda place HTTPURL,1,1
"I love math , I 'm so amped for my final like 7 hours from now . I hardly studied for it . #IBeenDoingIntegralsSinceThe5thGrade  :grinning_face_with_smiling_eyes: :winking_face_with_tongue: :face_with_tears_of_joy: :persevering_face: :anxious_face_with_sweat: :tired_face: :confounded_face:",1,1
". @USER @USER / RBRNetwork 1 @USER @USER I think it 's your white skin . Or "" racist DNA "" . He 's a geneticist too , did ya know ? ",1,1
@USER : hey sorry im late i didnt want to come #myperiod,0,1
"Off in to town to get a bday prezzy , how rude to have a birthday in Xmas week #BusyBee",0,0
Hashtags are great idk why everyone stopped using them #jk  #bye,1,0
And then there was none . Goodbye beard ( of sorts ) #MensFashion  HTTPURL,1,1
"Wings ? I do n't have wings ! | "" Of course not ... You 're a boy ! """,0,1
I just love when you test my patience ! :smiling_face: ,1,0
"In #Business , knowing ' what  to do ' is very imp . #SayNo to anything that comes b / w u n ur #dreams . Even #money . #entrepreneur #tips",0,1
#Germany - - #ECB 's #Weidmann #says #German #2015 #growth #may #be #better #than #expected . HTTPURL via @USER,0,1
So far today is going AWESOME .  #fuckoff,1,0
@USER I am sure this has made your day . LoL ,1,0
@USER No ! I rarely drink at all . Got a stomach bug :-(,0,0
"@USER @USER ooh , that looks like so much fun ! ",1,0
What 's the correct word for racism ( towards white people ) ? | There is none . | #racism | #is |  | #good | #4anyone,0,0
My bed time stories are awesome  #theyllgiveyounightmares #ohwell #youaskedforit,1,0
There 's nothing more intimidating than having to serve an chavvy lanky 19 year old with acne and bum fluff .  #cringe,1,0
"Looking forward to a nice and long 130km #cycle tomorrow , in the minus degree weather  #fool #festive500",1,1
Well got the truck buried today perfect way to start a rainy Wednesday work day off  #annoyed #pissed,1,0
@USER Things also go slowly when you are waiting for them especially !,0,0
you are the one LYING @USER @USER @USER @USER @USER,0,1
Lol at the #EatenAlive show . if that 's the name of the show gotta do it not quit cause the snake was hurting his arm . #goodtv  #garbage,1,1
@USER lol of course it 's the best ! ! ,1,1
Friday morning lecture on blood :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: ,1,1
@USER yup it must be good to be ivy league Educated because it does alot of good ,1,1
"@USER , You ARE pretty so I better play your "" free "" #SkinnerBox game . I 'm sure it wo n't ask for my money after a few levels . ",1,1
Love the fact I 'm sick on my birthday ,1,1
@USER you sound just like Jack Kerouac | ,1,1
 RT @USER : Should be great watching Miami try to block Sweat and Featherstone off the edge next two years . Real fun stuff,1,0
You 're still shit @USER #cheater #pong,0,0
Confucius Motivational Quotes FREE ANDROID APP HTTPURL,0,1
Image via We Heart It HTTPURL #boy #funny #girl # K #mad  #ok HTTPURL,0,0
Yay for another work at 4am day :neutral_face: ,1,1
Two hour drive this morning with the instructor . Oh yes ..  #scaredshitless #yikes,1,1
"Love how the adverts for the woman in black 2 say "" you wo n't sleep for weeks "" ... way to sell it to me :flushed_face:  #SheNeverLeft",1,1
Just found the picture of lisazamorano trying to kill me #bff at our #seniorbrunch @USER Moutain Meadows HTTPURL,0,1
"#Aussie #gunman #was  #on terrorist #watch #list , PM #says : SYDNEY – The gunman who took 17 hostages in Sydney ... HTTPURL",0,0
"#Comptroller : #CitiBike #Stations , #Bikes  #Being #Properly #Maintained : As CitiBike gears up to expand , the ... HTTPURL",0,0
@USER and a strut to boot,0,1
Just found out there are Etch A Sketch apps .  #oldschool oldschool,1,1
@USER seriously in the clothes section F & F,0,1
"@USER Because your "" sarcastic "" ? #Sarcastic ",1,1
Today is awesome ,1,0
"May be cold tomorrow , December 28 , 2014 ! A low of - 7 ℃ - dress warm !",0,0
A #Meme for your #Monday ! #MemeMonday #Obama #Obamacare #AcidReflux  #StandUpShot #JokeoftheDay #Comedy HTTPURL,0,1
It 's super duper fun waking up and immediately shoveling your car out of your driveway for 20 minutes  #fuckinsnow,1,1
Those Amarillo hops make it just right #goldilocks - Drinking a Tour de Fall @USER Memphis ' Pint & Dram - HTTPURL #photo,0,0
There is nothing I love more than listening to the black eyed peas on the way home from a Saturday night loss in petrolia #killerband ,1,1
"Pepe 's hair RT @USER : Palacio 's hair ... "" @USER : Ronaldo hair .. "" @USER : Messy hair :heart_suit: """,0,1
Why does sue give bonnie anxiety and stress pills ,1,0
@USER what happens if I RT ?,0,0
@USER @USER @USER And it starts :P | #GetEnchanted,0,1
I have to leave for school at 9am and I 'm still in bed #fucktherain #wherearemyhunters #imgonnalooksocutetoday ,1,0
Ooh ! Someone knows how to click the ' Unfollow ' button . I 'm impressed !  #beforeCoffee HTTPURL,1,0
The #AdvancedWarfare campaign was only 6 hours - _ - | PS : It 's still better than BF4 ' s campaign tho ( that I did n't finish ) :p,0,1
@USER :enraged_face: no he bloody is n't I was upstairs getting changed !,0,0
95 % of my clothes are black . #noshame :bomb:,0,1
Hardest parking i 've probably ever done ! #screwyousmallparkinglot,0,0
@USER I 'll snap at you if you tell me what to do again ! | :face_with_tears_of_joy:  #funnyGuy,1,1
Everyone competing against each other for privatized goods is way better than working together as a whole to advance humanity . ,1,1
What a joke . Thanks for the detailed response and communication with your customers .  @USER @USER,1,1
Insanity is doing the same thing twice and expecting different results,0,0
WOW ! ! ! Really ? ? ? Homework in the weekends ? !  #talkingabout #theteachers :enraged_face: :enraged_face:,1,1
"What a lovely morning , #Delhi government bans #Uber - looks like rape will stop in Delhi now  #aretheyserious",1,0
Loooovvveeeeeee when my phone gets wiped - . - ,1,0
@USER : Wenger slams referee HTTPURL ( Sky ) #saintsfc ha ha ha ha for being too blatantly bias towards them ? !,0,1
I take blazing hot showers so I can get used to burning in the pits of hell . #ifitsreal ,1,1
it 's International Human Rights Day ,1,1
"I have footy socks on , trackies , a tee , a fluffy dressing gown and I 'm wrapped up in my quilt ... I sweating bean but shivering my nuds off",0,0
"@USER Hey , he DOES have the word "" ban "" on his home page like two or three times though . #AcknowledgementIsFirstStep ",1,0
I did n't know it 's your territory I really . .. WHAT ARE YOU DOIN - no . . Please do n't shoot at me I . .,0,1
UK PM making sure child abusers are brought to justice . I can assume people will be brought to justice  #lies HTTPURL,1,1
@USER a ghostwriter ? Shocked ... ,1,1
Well today has just started off great . ,1,0
"BJP-CONGRESS nt disclosing detail of 3600 cr . donation received , still Media / Bhakts questioning AAP  #MufflerMan HTTPURL",1,0
Congrats still SASMVT for a good run . Ulitin nalang ulit ang 6 - peat next year :),0,0
Is holding not a rule anymore ?,0,1
Please dont fuck with me when I first wake up  a morning person !,0,0
What I did for my food at the Spanish party !  HTTPURL,0,1
I just LOVEEEE finals soooo much . And not getting any sleep is the best part about them :astonished_face: :water_pistol: ,1,0
Suppose I best move my arse to the #gym . Anything to put off wrapping presents :confused_face: :wrapped_gift: #christmas #chore,0,0
@USER I mean that all matter this game ,1,0
Isabelle sends me the nicest texts  :persevering_face: :confounded_face: :broken_heart:,1,1
I have such a wonderful gf ! ,1,1
When u callin I 'm tappin lol  sorry,1,0
One of my favourite things about going to fanshawe is walking to the Z building ,1,1
So lakeside was like 7million scavengers all in 1place #hadfun  #neverboxingdayshoppingagain,1,1
For some reason I feel the classiest when I 'm wearing $ 3 fake pearl necklaces .  ? Lol,1,0
Xmas on the blog feat @USER and @USER * Read our story and share the LOVE :red_heart: Click the link ... HTTPURL,0,0
"Christmas Day , Boxing Day and New years day off just is n't enough ! So much to do for me & others this month  #enough #hours #in #the #day",0,1
#bitch #bitchy #badass #lol #laughing #jokes #sarcastic  #funtime #funny #fun #ecards ... HTTPURL,1,0
Next day makeup just looks so hawt :kiss_mark: ,1,0
 a bad game last night . Way to go Packers ! HTTPURL,0,0
Overcast at Creso . #todayimloving #beachwalk #crescenthead HTTPURL,0,1
@USER : :raising_hands: :raising_hands: HTTPURL #fitfam #fitness #health,0,1
 does n't convey what I want though . #twitterproblemsforme,0,0
suddenly w-wada  HTTPURL,1,1
A year ago | my cat was hit by | a car ... this is him | today . is a great quote,0,0
Love waking up to my face being licked by my puppy .. ,1,1
Cool . ,1,1
Lol at people saying they 're turning 13 this year when did I start following kids #sorry,0,1
I love my mom ,1,0
"I was going 2 post my opinions on #obama #cuba but i will save it , till after his #speech . #peacemaker ",1,1
"@USER @USER Was n't that full in the nosebleeds where I was sitting , but it was fun ! Crowd reacting to JoePa is my fav memory .",0,1
"@USER no , not anymore . :persevering_face:",0,1
@USER @USER @USER When / how did the ACL tear happen ?,0,0
"@USER Would be also great if David teamed up with his old man again at the Carols , similar to a few years back . #Greatdou in both cases",0,1
@USER : . @USER awk moment when I tweeted first #fakefan ! ! ! ,1,1
It 's almost 1am and @USER and I are arguing on why the guy is cute or not . Really . This is our lives . Come on were adults . ,1,1
"I actually just started crying while brushing my teeth due to lack of sleep , stress and test anxiety . Today 's gonna be a good one ... ",1,0
New homeschool year . New Marketing business . Clickbank University . Wealthy Affiliate . Writing the book finally . #holyschedule #needanapp 0_0,0,1
"Watching the news being like ; "" oh this totally restored my faith in humanity . "" ",1,0
"Will #NASA go metric before it inches to Mars ? 3,600 miles is 5,794 kms by the way #OrionLaunch #NASA_Orion HTTPURL",0,0
Tomorrow will be a great day ... ,1,1
Tamir Rice 's Memorial is today . His family had plans of seeing him grow up . Not gunned down by police . Police ?  HTTPURL,0,0
@USER I hate you lol,0,1
@USER @USER @USER @USER @USER @USER @USER not now guys finals  :hundred_points:,0,1
"Fell asleep @USER 8: 30pm , woke up at 12:00 am . Ca n't get back to #sleep . I had almost forgotten about you #insomnia - welcome back . ",1,1
#your biggest task is to get me to look #how shall one do that ?  looking #none of them #cleverclogs #shld #know #my #nakhre too,0,1
Glad to know my friends are supportive ,1,0
Just gave Imperfecto a 3.5 / 5 rating on @USER HTTPURL,0,0
Blackpool today for an interview .  the weather for the beach,0,1
Obama wants closer relations with a Marxist nation ... I 'm SHOCKED I tell you ! SHOCKED !  #cuba HTTPURL,1,0
@USER All # U Can Do Beautiful Is Your #BEST Winning Is  Important Taking Part & Having Fun Is What Matter 's :-),0,0
But it 's time to face the truth ... I will never be with you,0,1
#pick #up #linez  to use | Boy : When u smile its like the sun | Girl : Awe | Boy : because ur teeth are so yellow |; ),0,0
"Sunset for January 04 , 2015 at 04:39 PM ! Temperatures : 6 ℃ . It 's Partly Cloudy .",0,0
@USER nice . We make it in a pot with butter & Himalayan salt . Sometimes with infused salts for a change .,0,0
cies #eu Cleaner air would offer major health benefits in the Balkans HTTPURL,0,0
"It is so much easier for me to write how I 'm feeling than to actually speak it , I get nervous and stumble on my words if it 's on my heart .",0,1
Pretty much the real deal  #thanksmom HTTPURL,1,1
Shhhhhh ... nobody move ... they 're playing a NON-electronic game together ... NICELY ! ! ! ... HTTPURL,0,0
I just love being ignored :smiling_face_with_smiling_eyes: |  :unamused_face:,1,1
have n't talked to you in days . that 's cool I guess . ,1,1
NYPD blog : HTTPURL Do n't you feel safe and protected ?  #ICantBreathe,1,1
"@USER @USER A thief , a liar , a vote rigger , mocks those who use food banks and an online bully ",0,1
"If I carried on the way half the men do on here , I 'd be getting called a crank ( amongst other things ) and be asked if I had #PMT ...  :nail_polish:",1,1
work Wednesday-Sunday .. #yay  #moneytho :weary_face: :loudly_crying_face: :money_bag: :unamused_face:,1,0
Picked an excellent day to get my hair done :unamused_face: ,1,0
Sometimes i just dont understand anything | #stubborn HTTPURL,0,0
"Yoga pants , a sweatshirt , and nikes , am I @USER yet ? :face_with_tears_of_joy:",0,0
@USER still out w / back sprain ?,0,1
"@USER @USER you do n't know a damned thing about baseball , do you ?",0,1
Having to be up in four hours sounds great ,1,1
Getting ready to ship surplus ink cartridges out to Nunavut communities - yup that 's a great use of time / resources ! #sofulfilled ,1,1
HTTPURL #TeenAnalCasting #Highway Highway 69 – Disturbed ( Dedicated to a girl raped on 16/12 / 12 ),0,1
I think the new sweater I bought is a maternity sweater . Oh well . Its super cozy,0,0
"My grandma tells me she made raviolis to eat .. You know I yelled back "" fuck you I do n't want no ravioli nigga ! ! ! """,0,1
"We rebooted the server , it seems ok now YEY ! #facepalm  #devops",1,0
@USER absolutely shocking that the lamestream media has n't picked up on this  #mediabias @USER @USER,0,0
@USER your #ambition is #amazing .  #saintsfc enjoy exit from #ChampionsLeague,1,0
@USER Three minutes is better than no minutes,0,0
@USER @USER hahaha u talk abt policies .. just check delhi dialogue page .. are u from another gola lol,0,1
@USER : I can't stand watching a #UKvsLOU game with a Louisville fan ! They 're as bad as Steelers fans . #BBN @USER ,1,1
Everything You 've Been Told About Copywriting is BS .  HTTPURL,1,0
Well on a positive note if I can stay awake for another hour I can go get my blood work done ! #positivenote fun stuff ,1,0
"I have an "" attitude "" because you think you 're hot shit at a buffet restuarant . #lifegoals  #sideworknazi",1,1
"@USER oh joy , now i get to have even more of them in my living room !  #putyourtoysaway #badboyfriend",1,1
"I can't stop laughing at this . The fact that they specialize in "" Viral Marketing "" is especially amusing .  ... HTTPURL",1,0
"@USER No , voting somebody in because they 're from Latvia is way more important than voting for the best players . ",1,1
"i would tell ya , but you just would n't understand ... :heart_with_arrow:",0,0
Interviewed a turkey & here 's what he had to say HTTPURL #Thanksgiving,0,0
#Putin #says #Russia #wo n't #be #intimidated #over #Crimea . HTTPURL via @USER,0,0
i 'm really stoked about going abroad in the fall . and well next week but that 's for completely different reasons . #imissmyboyfriend,0,0
@USER that 's the easy part . Giving my man money to go grab all mine tomorrow morning can't be dealing with town to stressfull,0,0
"Hi Orgabeh , so we meet again . I think you 're my soulmate . :smiling_face_with_heart-eyes: zzzzZzz :tired_face:  #patience",1,0
That 's always the solution ...  . Does n't fix anything !,1,0
Storm coming ! #todayimloving  HTTPURL,1,0
@USER tis the season for unwanted gifts !,0,1
