tweet,label_polarity,mean_confidence_polarity,variability_polarity,mean_correctness_polarity,correctnesses_polarity,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
"soon , stop , wtf , and omg are deff my fav things to hear :face_with_tears_of_joy: ",1,0.6521357968449593,0.3628501079218078,0.5,"[0, 1, 0, 1]",1,0.8839503228664398,0.1023100443992081,1.0,"[1, 1, 1, 1]"
@USER yay ! ! ! It works  #HateWhenThingsDontWorkRight,1,0.6536852568387985,0.3653596966282608,0.5,"[0, 0, 1, 1]",1,0.7343129441142082,0.2208622222751948,0.75,"[1, 0, 1, 1]"
@USER To the officer 's defense ... that was a very scary looking phone .  #BlackLivesMatter,1,0.3921485068276524,0.395857447078831,0.5,"[1, 0, 1, 0]",1,0.6681738481856883,0.3761652220673885,0.75,"[1, 1, 1, 0]"
Just great when you 're mobile bill arrives by text ,1,0.6413036063313484,0.3841447114739854,0.5,"[0, 0, 1, 1]",1,0.7134876847267151,0.120266411444362,1.0,"[1, 1, 1, 1]"
@USER @USER Nice but  original,0,0.7096605151891708,0.2752030227996021,0.5,"[0, 1, 0, 1]",0,0.6650286726653576,0.3033570963499999,0.75,"[1, 1, 1, 0]"
Let 's all do only squats and deadlifts until we hurt ourselves - - really really good trainers #fitnessmotivation ,1,0.4658287446945905,0.371783150441182,0.5,"[1, 0, 1, 0]",1,0.9031974375247956,0.094710269975401,1.0,"[1, 1, 1, 1]"
@USER nah dude my buddy puked all over steak and shake,0,0.6189804449677467,0.3991679891401227,0.5,"[0, 1, 1, 0]",0,0.9370258748531342,0.0776865079121428,1.0,"[1, 1, 1, 1]"
I work in front of laptop for 8 hours a day and suffer terrible dry eye . #bloodshot  #eyerony,0,0.6817202121019363,0.3081485735816837,0.5,"[0, 1, 0, 1]",0,0.76004708558321,0.2199432367799455,0.75,"[0, 1, 1, 1]"
Playing golf all day ' ery day | #PerksOfBeingOld,0,0.6750426702201366,0.3273382810427059,0.5,"[0, 0, 1, 1]",0,0.8444845229387283,0.0858102247401856,1.0,"[1, 1, 1, 1]"
"Looking for @USER practitioners ... Anyone out there , or recommendations ?",0,0.6203125647734851,0.4106308131272762,0.5,"[0, 1, 0, 1]",0,0.8493282198905945,0.1882539791861504,1.0,"[1, 1, 1, 1]"
How Badly Do You Need That Burrito ? ( That 's sounds naughty ) HTTPURL #burrito ,0,0.5692946873605251,0.3835602393520743,0.5,"[0, 1, 0, 1]",0,0.735471099615097,0.3682097221236436,0.75,"[0, 1, 1, 1]"
MLS Transactions 2015 #MLS HTTPURL making waves again  2 b fair it will take more than 2 players to fix this,1,0.5823159054853022,0.421367592936543,0.5,"[0, 0, 1, 1]",1,0.4825159383472055,0.4110203243884704,0.5,"[0, 1, 0, 1]"
Love waking up early in the morning  #HockeyTournament #RefLife #Zebras,1,0.6697945445775986,0.3294928889700921,0.5,"[0, 0, 1, 1]",1,0.7844279110431671,0.1803724875093504,1.0,"[1, 1, 1, 1]"
Breaking up with your girl so you do n't have to buy her any presents | | #lowbudget #smartmove  # a #good #idea #butscheming doe,0,0.4799643508158624,0.3256812581736201,0.5,"[0, 1, 0, 1]",0,0.9213957190513612,0.0922231395602267,1.0,"[1, 1, 1, 1]"
@USER becauseeee I miss youu  coffee later ?,1,0.558702434413135,0.4394421083653415,0.5,"[0, 0, 1, 1]",1,0.8026013672351837,0.277033525966761,0.75,"[0, 1, 1, 1]"
Who dares to play this game ? Lol #Shots #Sex #Fine #Tipsy #Drunk #Dead :face_with_tears_of_joy:  #NeedAGoodLaugh HTTPURL,0,0.5660350932739675,0.4041666142567562,0.5,"[0, 0, 1, 1]",0,0.5711613483726978,0.2510551322296211,0.75,"[1, 1, 0, 1]"
"Besides some overpriced holiday candles , I have n't seen one #CyberMonday deal worthwhile today . Brutal .",0,0.6048826202750206,0.2858959636408977,0.5,"[1, 1, 0, 0]",0,0.9149100631475447,0.127658006226914,1.0,"[1, 1, 1, 1]"
@USER @USER @USER @USER actually I believe Henry is undefeated on Turf in @USER @USER ,1,0.5825409684330225,0.3337581495019076,0.5,"[0, 0, 1, 1]",1,0.9631568789482116,0.0250306038622635,1.0,"[1, 1, 1, 1]"
@USER @USER not bad for a kid from Az . Hockey does n't work in the desert . ,0,0.5718890428543091,0.4224134966901689,0.5,"[0, 0, 1, 1]",0,0.5289026312530041,0.4518086816558952,0.5,"[0, 1, 0, 1]"
"@USER Tx , i saw that . must be a great shot to defend oneself from a fierce attacking giraffe .  #HungerGames",1,0.4956226069480181,0.3736927580154525,0.5,"[1, 0, 1, 0]",1,0.8997483998537064,0.0895347754462059,1.0,"[1, 1, 1, 1]"
@USER great Christmas present  . Unreal what the alcohol industry will do to lure young people . #sad #nosocialconscience,1,0.549356373026967,0.4420063926790177,0.5,"[0, 1, 1, 0]",1,0.7822140902280807,0.0606988000875853,1.0,"[1, 1, 1, 1]"
#Australia - - Eight #children #killed in Australia in #reported #mass #stabbing . HTTPURL via @USER,0,0.6371221989393234,0.3409398480690556,0.5,"[1, 1, 0, 0]",0,0.8701345026493073,0.1969619386060458,1.0,"[1, 1, 1, 1]"
Connacht Camogie champions 2014 ! 3 years in a row ! Hon HRC ! #MountbellewIsAHurlingStronghold  #HolyRosary4life #SeniorB :grinning_face_with_smiling_eyes: :raising_hands: :trophy: :baseball:,0,0.5142603488638997,0.447210095163925,0.5,"[0, 0, 1, 1]",0,0.7095118453726172,0.4014565062711476,0.75,"[0, 1, 1, 1]"
Session at the local #1stPhoto #rektek #bmx #lookMamNoHands  #flying #fallingWithStyle HTTPURL,0,0.5477402471005917,0.4152822850034431,0.5,"[0, 1, 0, 1]",0,0.9050379544496536,0.1210200485534239,1.0,"[1, 1, 1, 1]"
Oh yess Dean Smith is ref  on the plus side we have thompson #improved,1,0.5644189594313502,0.3808857339039171,0.5,"[0, 1, 1, 0]",1,0.8131580501794815,0.2129507312948912,0.75,"[0, 1, 1, 1]"
@USER u might b d bigest fan of srk but i find u better actor than him  sayng it just fr sayng but realy mean it #expression king,0,0.5806414089165628,0.4178517658199309,0.5,"[0, 1, 1, 0]",0,0.7810056954622269,0.059568498843525,1.0,"[1, 1, 1, 1]"
First day skiing #killedit  #iwasshit #tignes #seasonlife HTTPURL,1,0.612611853517592,0.4004524819191472,0.5,"[0, 1, 0, 1]",1,0.7771493047475815,0.1602358154527066,1.0,"[1, 1, 1, 1]"
@USER Ohhhh yeaah the girl from your favorite couple wants me to come hang with her lol BRUH wtf is this lol ,0,0.6313469624146819,0.3961577721601958,0.5,"[0, 1, 1, 0]",0,0.781871922314167,0.2241181486137873,0.75,"[0, 1, 1, 1]"
@USER your busy staff  standing about when people queue #joke HTTPURL,1,0.5371088148094714,0.4544311578145274,0.5,"[0, 1, 1, 0]",1,0.7512019891291857,0.3730598190918898,0.75,"[0, 1, 1, 1]"
That was the cutest thing ever :smiling_face_with_heart-eyes: :face_blowing_a_kiss:,0,0.4891678603598848,0.3628847914443918,0.5,"[1, 0, 1, 0]",0,0.8620847165584564,0.168306533275659,1.0,"[1, 1, 1, 1]"
Original Content is hard to come by . - Anonymous #writingtips  #quoteoftheday,1,0.5009992914274335,0.4789098416395413,0.5,"[1, 0, 1, 0]",1,0.7857882454991341,0.2035127286263577,0.75,"[0, 1, 1, 1]"
#Uniform  #unity #LMFAIR14,0,0.60617839358747,0.4103587526803808,0.5,"[0, 0, 1, 1]",0,0.8443685919046402,0.0999960498606307,1.0,"[1, 1, 1, 1]"
When you show your valid 16-25 railcard and shes charges you full price anyway . Great service from Tamworth  @USER,1,0.8644565418362617,0.2191671452339448,0.75,"[0, 1, 1, 1]",1,0.943350911140442,0.0200485573885024,1.0,"[1, 1, 1, 1]"
"Gotta study and I 'm like , who cares ? !  #perksofbeingasenior :thumbs_down:",1,0.8113705590367317,0.1914849298247963,0.75,"[0, 1, 1, 1]",1,0.8960583657026291,0.0603669295904478,1.0,"[1, 1, 1, 1]"
@USER @USER Because Bill makes too much money making speeches now and he 's so honest :) ,1,0.8678759634494781,0.2158394923358576,0.75,"[0, 1, 1, 1]",1,0.7869875431060791,0.12208569857041,1.0,"[1, 1, 1, 1]"
Ppl keep snapping me and I can't snap back because I 'm looking too good rn ,1,0.8478673174977303,0.2402253991746489,0.75,"[0, 1, 1, 1]",1,0.9872640520334244,0.0063148214341122,1.0,"[1, 1, 1, 1]"
Good luck to @USER against @USER this afternoon after a month of inactivity .  ring rusty .,1,0.8666198924183846,0.2123787311591988,0.75,"[0, 1, 1, 1]",1,0.8657927364110947,0.1755756845144188,1.0,"[1, 1, 1, 1]"
#Palestinian #Authority - - #Abbas #trades #stalemate for #confrontation in #ICC #move . HTTPURL via @USER,0,0.8694876432418823,0.2150944304520182,0.75,"[0, 1, 1, 1]",0,0.8739469647407532,0.1740110541131884,1.0,"[1, 1, 1, 1]"
@USER someone 's on the defensive ... if the shoe fits :frog_face: :hot_beverage:,0,0.7085631489753723,0.2950511634034685,0.75,"[1, 1, 0, 1]",0,0.6511014029383659,0.2931159341549876,0.5,"[1, 0, 0, 1]"
"@USER @USER hitting the big issues , champ . ",1,0.8649638369679451,0.2189343370403028,0.75,"[0, 1, 1, 1]",1,0.9236696362495422,0.0560692528684624,1.0,"[1, 1, 1, 1]"
"there is no such thing as "" racists "" because there 's only ONE race , HUMAN @USER @USER @USER @USER @USER",0,0.8680587261915207,0.2148058549547173,0.75,"[0, 1, 1, 1]",0,0.9012567847967148,0.10542300805722,1.0,"[1, 1, 1, 1]"
What an awesome performance by the Choral students @USER tonight ! They 're developing young stars of the future right here in #yeg !,0,0.8091870695352554,0.1978672753723183,0.75,"[0, 1, 1, 1]",0,0.7776833549141884,0.1904367059953952,0.75,"[0, 1, 1, 1]"
This time change is crazy . Everyones all up here like woohoo its 11am lets live life ! & I 'm like it is 5am & I have not slept at all yet .,0,0.6496901977807283,0.3736592671976869,0.75,"[1, 0, 1, 1]",0,0.8065586090087891,0.146906414465843,1.0,"[1, 1, 1, 1]"
I liked a @USER video HTTPURL NEW Chocolate Bar Palette Review | Semi Sweet vs . Original,0,0.8186975866556168,0.1904492886888771,0.75,"[0, 1, 1, 1]",0,0.94472336769104,0.0397199448933026,1.0,"[1, 1, 1, 1]"
"Well today is off to a great start , might as well be Monday ",1,0.8592618852853775,0.2253055832493202,0.75,"[0, 1, 1, 1]",1,0.697310596704483,0.3032494811151057,0.75,"[1, 0, 1, 1]"
@USER @USER @USER #WatchOutForThis | Hold the line,0,0.8444889262318611,0.2096579784203016,0.75,"[0, 1, 1, 1]",0,0.966356799006462,0.0085171901788706,1.0,"[1, 1, 1, 1]"
#But #It8217s #Matters  #Size #Style #That #wedding | Please RT : HTTPURL HTTPURL,0,0.8589276522397995,0.2275416162168607,0.75,"[0, 1, 1, 1]",0,0.696259519085288,0.3689213991225943,0.75,"[1, 0, 1, 1]"
@USER @USER Thx . If thry real why dont you have them ? Friend me on HTTPURL,0,0.865628756582737,0.2155889144313544,0.75,"[0, 1, 1, 1]",0,0.8171224594116211,0.1888574218739973,1.0,"[1, 1, 1, 1]"
Do n't forget to join @USER for #Steak Night tonight starting at 4pm ! #nyc #food #foodie,0,0.8557132929563522,0.2253301696941053,0.75,"[0, 1, 1, 1]",0,0.7112434059381485,0.1558206264530505,0.75,"[1, 1, 0, 1]"
@USER I 'm gunna sit here and ,0,0.8362193927168846,0.2230621797916239,0.75,"[0, 1, 1, 1]",0,0.6166713833808899,0.3480830359223999,0.75,"[0, 1, 1, 1]"
On the other hand condolences to @USER and @USER for the draw ...,0,0.8674514219164848,0.2153862113906851,0.75,"[0, 1, 1, 1]",0,0.759927436709404,0.1913127343703069,1.0,"[1, 1, 1, 1]"
 does n't convey what I want though . #twitterproblemsforme,0,0.8521611541509628,0.215170545288611,0.75,"[0, 1, 1, 1]",0,0.9089046865701677,0.0976608978488388,1.0,"[1, 1, 1, 1]"
"@USER i am okay with a trade , but they better get a darn good package and it better not be in the division",0,0.855900764465332,0.2421143187671281,0.75,"[0, 1, 1, 1]",0,0.681268610060215,0.1989170988123599,0.75,"[1, 0, 1, 1]"
Andrew Luck is some kind of QB ... Wowzers . #INDvsCLE,0,0.8596039935946465,0.216627935102511,0.75,"[0, 1, 1, 1]",0,0.8673601150512695,0.0881689102619117,1.0,"[1, 1, 1, 1]"
All I can say is I 'm lucky .,0,0.863508865237236,0.2182789737692516,0.75,"[0, 1, 1, 1]",0,0.7737814709544182,0.2405218478906039,0.75,"[1, 1, 0, 1]"
@USER He 'd be a perfect fit ... or Beachy / Medlen .,0,0.840651236474514,0.2222917985982697,0.75,"[0, 1, 1, 1]",0,0.6025345511734486,0.2371378343240315,0.75,"[1, 1, 1, 0]"
"@USER @USER @USER Maybe they are going to jump in and land on something that is technically not "" the ground "" . ;)",0,0.8647851794958115,0.2178025965791444,0.75,"[0, 1, 1, 1]",0,0.7568292617797852,0.1256837549924789,1.0,"[1, 1, 1, 1]"
@USER A lot of ingredients . More specifically ... Like a lot a lot,0,0.8510627523064613,0.2129312642531211,0.75,"[0, 1, 1, 1]",0,0.6134890839457512,0.221629127010291,0.75,"[1, 1, 0, 1]"
@USER Thei reights to protest ends where my rights begin . They can not take my right of earning livelihood and free movement .,0,0.8632690235972404,0.2201891713546953,0.75,"[0, 1, 1, 1]",0,0.6008783299475908,0.3280416043736792,0.75,"[1, 0, 1, 1]"
Someone had a great sense of humor  #TheyGaveMeTCUColorsForChristmas HTTPURL,1,0.6103479271987453,0.3946718748840929,0.75,"[1, 1, 1, 0]",1,0.6135096251964569,0.3134038812768026,0.75,"[1, 1, 1, 0]"
"#Legend says if you stand in front of a mirror + say "" I can't even "" 3 times , a girl in #yogapants will appear + give you a pumpkin spice latte .",0,0.8620880991220474,0.2247108663585123,0.75,"[0, 1, 1, 1]",0,0.7867021858692169,0.2036549657169929,0.75,"[0, 1, 1, 1]"
Working cart today .. gonna make that money !  . 35 golfers all day :unamused_face: :pistol:,1,0.6387367527931929,0.3694119593735894,0.75,"[1, 1, 1, 0]",1,0.8912304788827896,0.0888055171699451,1.0,"[1, 1, 1, 1]"
Well you just have to look ... Do n't you ? ? #wrestling #SportsEntertainment  #wwe #raw or #smackdown #co ... HTTPURL,0,0.8663231208920479,0.219929333896437,0.75,"[0, 1, 1, 1]",0,0.5602575968950987,0.3669502194230605,0.5,"[1, 0, 0, 1]"
@USER that 's the easy part . Giving my man money to go grab all mine tomorrow morning can't be dealing with town to stressfull,0,0.8537613451480865,0.2365371497676056,0.75,"[0, 1, 1, 1]",0,0.7443975210189819,0.1571879820280575,1.0,"[1, 1, 1, 1]"
I come up with some ridiculous scenarios in my head :thought_balloon:,0,0.8473404422402382,0.2057683592746018,0.75,"[0, 1, 1, 1]",0,0.5898700170218945,0.2515978351357412,0.75,"[1, 0, 1, 1]"
one essay submitted now to start the next one :') #thirdyearlife #loveit ,1,0.6913959681987762,0.3071553943677468,0.75,"[1, 0, 1, 1]",1,0.8494295626878738,0.1148065330127287,1.0,"[1, 1, 1, 1]"
HAPPY is how i can describe today ! :smiling_face: :purple_heart:,0,0.8032117784023285,0.2137224584415744,0.75,"[0, 1, 1, 1]",0,0.883698046207428,0.0943710845025894,1.0,"[1, 1, 1, 1]"
Feeling artsy tonight . #artsy #homealone #vienna #studentlife @USER b & e 's apartment HTTPURL,0,0.852108396589756,0.2299523847494749,0.75,"[0, 1, 1, 1]",0,0.870644673705101,0.042661361127262,1.0,"[1, 1, 1, 1]"
#NYPD did  comment 4 this or provide its own internal #statistics w / | :police_car: involved :skull: s & the info has not been given 2 the FBI since 2006 .,0,0.8337157070636749,0.2677629185299593,0.75,"[0, 1, 1, 1]",0,0.8989530205726624,0.0911053136490353,1.0,"[1, 1, 1, 1]"
"@USER Now , Tomorrow productivity at work would be hampered . #GetMeToEVC",0,0.8624472171068192,0.2098385673505215,0.75,"[0, 1, 1, 1]",0,0.8999567925930023,0.1048286359242767,1.0,"[1, 1, 1, 1]"
love being able to be comfortable in my own room :grinning_face_with_big_eyes: :thumbs_up: ,1,0.8286115601658821,0.1982923808183962,0.75,"[0, 1, 1, 1]",1,0.780192956328392,0.1158784768807797,1.0,"[1, 1, 1, 1]"
"This is what  looks like , right ? HTTPURL",0,0.8248315453529358,0.2002898559012524,0.75,"[0, 1, 1, 1]",0,0.8159816116094589,0.1936872387171634,1.0,"[1, 1, 1, 1]"
@USER I liked .. Do n't regret anything that made you smile ... Ha ha,0,0.8632185682654381,0.2178172565842012,0.75,"[0, 1, 1, 1]",0,0.900977611541748,0.1509082138552298,1.0,"[1, 1, 1, 1]"
"@USER holy fuck , those lyrics fit so good to the movie Interstellar ! #chills #freakyfriday",0,0.8495562076568604,0.2337775935131918,0.75,"[0, 1, 1, 1]",0,0.8197205662727356,0.1776010601884637,1.0,"[1, 1, 1, 1]"
#Libby #Lane #appointment : #Women #bishops #debate  #over : The appointment of the Reverend Libby Lane as the ... HTTPURL,0,0.8578655496239662,0.2155780637575978,0.75,"[0, 1, 1, 1]",0,0.7429299727082253,0.2362787137278354,0.75,"[1, 0, 1, 1]"
I need new boots for my birthday .. And by new boots I mean like 3 or 4 pairs :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: #ineednewboots #boots,0,0.802235558629036,0.1962135940298232,0.75,"[0, 1, 1, 1]",0,0.8569054752588272,0.0772104015756604,1.0,"[1, 1, 1, 1]"
I 'm so different when I 'm back home ... I blame the work crew #rowdy #banter  #toomuchlove #360family,1,0.7870196253061295,0.2136535641303155,0.75,"[0, 1, 1, 1]",1,0.6542168632149696,0.2201972439949611,0.5,"[0, 1, 1, 0]"
"@USER at $ 8.25 per day those are definitely not Costco socks ! I must say this "" funky sock "" movement is kinda cool .",0,0.8380122035741806,0.2150548517889885,0.75,"[0, 1, 1, 1]",0,0.7823230549693108,0.2778760590516587,0.75,"[1, 0, 1, 1]"
The mouse 's first incepted memory was just the sound : BRAAAAAAWWWWWWWWWP !,0,0.6240328634157777,0.400722967459699,0.75,"[1, 0, 1, 1]",0,0.8334853500127792,0.1757008184677077,1.0,"[1, 1, 1, 1]"
work should be fun today  :unamused_face:,1,0.8536018431186676,0.2220483932725407,0.75,"[0, 1, 1, 1]",1,0.9200827777385712,0.0865760701230753,1.0,"[1, 1, 1, 1]"
Nothing says nature like the relentless sound of AM commuter traffic #fthunter #AMdogfun  @USER,1,0.8139355555176735,0.2108650314397051,0.75,"[0, 1, 1, 1]",1,0.6173060908913612,0.2375914731252519,0.75,"[1, 1, 0, 1]"
It scares me when I think about what things will be like a year from now ! #2015,0,0.865571603178978,0.2197971764363612,0.75,"[0, 1, 1, 1]",0,0.7745352312922478,0.257516107609346,0.75,"[0, 1, 1, 1]"
@USER @USER journalism at its best ,1,0.8579780384898186,0.2128951375289672,0.75,"[0, 1, 1, 1]",1,0.942593827843666,0.0286543409841135,1.0,"[1, 1, 1, 1]"
Sick on Christmas YAYYYY ,1,0.8696333691477776,0.2171082574630005,0.75,"[0, 1, 1, 1]",1,0.7622943073511124,0.14327407012754,1.0,"[1, 1, 1, 1]"
I already can't wait for Julia to come back .,0,0.863686591386795,0.2112868089541336,0.75,"[0, 1, 1, 1]",0,0.6084872782230377,0.2593392713236411,0.75,"[1, 1, 0, 1]"
Please dont fuck with me when I first wake up  a morning person !,0,0.8543524444103241,0.2118283842146837,0.75,"[0, 1, 1, 1]",0,0.748721681535244,0.2014106804631087,0.75,"[0, 1, 1, 1]"
@USER @USER he 's the detective ! ! ! lol  #OrTypeCast,1,0.8581129163503647,0.2301436338440571,0.75,"[0, 1, 1, 1]",1,0.7941203415393829,0.1418089870966589,1.0,"[1, 1, 1, 1]"
I liked a @USER video from @USER HTTPURL 2015 Challenge ! Style By Dani,0,0.8714008927345276,0.2154702428975168,0.75,"[0, 1, 1, 1]",0,0.6727069383487105,0.3822380327311294,0.75,"[1, 1, 1, 0]"
@USER Frisky at 2am ? That 's nothing new . ,0,0.8314528837800026,0.2053504693793536,0.75,"[0, 1, 1, 1]",0,0.5106138754636049,0.3384667774522025,0.5,"[0, 1, 0, 1]"
Exam na jud . Merry christmas . | |  | #KillUsSlowly,1,0.8655083179473877,0.2206610570404466,0.75,"[0, 1, 1, 1]",1,0.7819255888462067,0.1404191870541926,1.0,"[1, 1, 1, 1]"
