tweet,label_polarity,mean_confidence_polarity,variability_polarity,mean_correctness_polarity,correctnesses_polarity,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
@USER nope . Doing everything wrong . Cold . Hot . Hot . Cold . Gear seems ok but as today dipped to - 14 prob spoke too soon . #orings,0,0.3275397261604666,0.2677818926070644,0.25,"[1, 0, 0, 0]",0,0.9234067797660828,0.0512846851076532,1.0,"[1, 1, 1, 1]"
Who 's eating everything on the table for Noche buena ? :person_raising_hand: :person_raising_hand: :person_raising_hand:,0,0.4742897860705852,0.3047476740301355,0.25,"[0, 0, 1, 0]",0,0.8447502851486206,0.1617625376415203,1.0,"[1, 1, 1, 1]"
@USER they are all written out in a gold gel pen waiting ! I hate how are relationship consists of twitter messaging  #fulfilling,0,0.3579537011682987,0.3623327889481024,0.25,"[0, 0, 0, 1]",0,0.3415867993608117,0.3694827571343748,0.25,"[0, 1, 0, 0]"
@USER apple jd ?  sure,0,0.5590451285243034,0.2571294377974077,0.5,"[1, 0, 0, 1]",0,0.6244041621685028,0.1949321658814571,0.75,"[1, 1, 0, 1]"
"@USER @USER wow . That  here though , sorry grandpa , we use mac these days #WelcomeToTheWorld #NeverArgueWithFools",0,0.4627674650400877,0.3464960765756246,0.5,"[1, 0, 1, 0]",0,0.8025240376591682,0.3005330466238622,0.75,"[0, 1, 1, 1]"
@USER @USER : Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015 .,0,0.5927757285535336,0.3530236567601753,0.5,"[0, 1, 0, 1]",0,0.7873900793492794,0.3279023573700836,0.75,"[0, 1, 1, 1]"
We still got alot of moonlight left,0,0.7105120196938515,0.2325347398787728,0.5,"[0, 0, 1, 1]",0,0.8627661466598511,0.1061172240439107,1.0,"[1, 1, 1, 1]"
Check Out this YouTube channel : HTTPURL,0,0.6373630687594414,0.2336963083429489,0.5,"[0, 1, 0, 1]",0,0.9129528403282166,0.077186224483756,1.0,"[1, 1, 1, 1]"
Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,1,0.7034049555659294,0.2594974293875076,0.5,"[0, 0, 1, 1]",1,0.6354961879551411,0.2731853176266471,0.75,"[1, 0, 1, 1]"
@USER : . @USER considering a run for the @USER : HTTPURL #5Things HTTPURL <shocking> <>,1,0.6269731409847736,0.3195216793330876,0.5,"[0, 1, 0, 1]",1,0.7763547375798225,0.2425667933552242,0.75,"[0, 1, 1, 1]"
@USER @USER Pulled by White Van Man by the looks of it . Yuk .. so naff . That keeps the magic of xmas alive .. ,1,0.6828153878450394,0.2966158962734353,0.5,"[0, 0, 1, 1]",1,0.6687862351536751,0.2907632553017449,0.5,"[0, 1, 0, 1]"
Yay ! More worthless Windows 8.1 updates . Computer still never sleeps / hibernates on its own . #fixit #fail #Microsoft ,1,0.7236682549118996,0.2355186771545971,0.5,"[0, 0, 1, 1]",1,0.8876573741436005,0.1265680155320834,1.0,"[1, 1, 1, 1]"
"@USER yup gotta keep up with my "" frantic party lifestyle "" . ",1,0.707688719034195,0.2402337796146327,0.5,"[0, 0, 1, 1]",1,0.9145286083221436,0.0770297616737379,1.0,"[1, 1, 1, 1]"
"Today I 'm standing at the front of Tesco wearing an Elf 's hat , saying hello to customers and getting ignored . #dreamjob ",1,0.5868854895234108,0.2543713292501889,0.5,"[0, 0, 1, 1]",1,0.8649829775094986,0.1690132697396775,1.0,"[1, 1, 1, 1]"
Oh sprints I love you  HTTPURL,1,0.6964598074555397,0.2804033864897682,0.5,"[0, 0, 1, 1]",1,0.7280515283346176,0.2888844233427662,0.75,"[0, 1, 1, 1]"
Because standing by a board about dental hygiene for two hours is how I wanted to spend my birthday .. ,1,0.6714962422847748,0.2323227530070651,0.5,"[0, 0, 1, 1]",1,0.6143425479531288,0.262005602456857,0.5,"[0, 1, 0, 1]"
@USER Thank you for staying Tom !,0,0.6331896521151066,0.2923773235448574,0.5,"[0, 0, 1, 1]",0,0.9090372920036316,0.1034804242548622,1.0,"[1, 1, 1, 1]"
" # A #TERROR #ORGANIZATION ... #Hamas man killed , 3 injured in "" suspicious explosion "" in #Gaza HTTPURL #Israel",0,0.5733785778284073,0.3352438365087511,0.5,"[0, 1, 0, 1]",0,0.6636908501386642,0.2802167732551226,0.75,"[1, 0, 1, 1]"
"@USER Wow , neat ! & a nice mini tour of Belfast as well . I think you should have asked for one of these for Xmas , Larry !",0,0.6314466036856174,0.2918768388336309,0.5,"[0, 1, 0, 1]",0,0.8056530207395554,0.157487817470409,1.0,"[1, 1, 1, 1]"
Chillax Bitches . :squinting_face_with_tongue: why is my face so squished . #fireball HTTPURL,0,0.6288756765425205,0.3433668650672718,0.5,"[0, 0, 1, 1]",0,0.756392665207386,0.1919663876239767,0.75,"[1, 1, 0, 1]"
Absolutely great having no lesson from half 10 until half 3 today  #zzzz,1,0.5552178621292114,0.2595051183071144,0.5,"[1, 0, 0, 1]",1,0.8173853307962418,0.2234249265957817,0.75,"[1, 0, 1, 1]"
Just booked me and my back a massage with @USER @USER hopefully stop it groaning over crimbo :thumbs_up: :Santa_Claus: :wrapped_gift: :Santa_Claus:,0,0.5996595770120621,0.1818025209829299,0.5,"[0, 0, 1, 1]",0,0.8252990692853928,0.1123166204172925,1.0,"[1, 1, 1, 1]"
@USER I know it was you Fredo . You broke my heart !,0,0.6567781642079353,0.2177190645103177,0.5,"[0, 1, 1, 0]",0,0.8694651424884796,0.1415220603495955,1.0,"[1, 1, 1, 1]"
How DARE somebody exercise their freedom to protest and freedom of speech . ,1,0.4621006660163402,0.3330567360205695,0.5,"[1, 0, 0, 1]",1,0.818977102637291,0.2473120730906258,0.75,"[0, 1, 1, 1]"
Why does Zayn look like a Spanish flamingo dancer,0,0.6111933551728725,0.2905433473865774,0.5,"[0, 1, 0, 1]",0,0.6293071210384369,0.311476316527618,0.75,"[1, 1, 0, 1]"
@USER One could hope . ,1,0.5906586647033691,0.2672421572418326,0.5,"[0, 0, 1, 1]",1,0.7432149052619934,0.237139725051496,0.75,"[0, 1, 1, 1]"
Yeah nice hair babes  :face_with_tears_of_joy: :face_with_tears_of_joy: HTTPURL HTTPURL,1,0.6761217638850212,0.2834576201042831,0.5,"[0, 0, 1, 1]",1,0.8599056452512741,0.1169028260174668,1.0,"[1, 1, 1, 1]"
@USER Why do n't you Tarmac all the speed humps in The Cut in 1 go instead of bit by bit as the brickwork disintegrates ! |  :rocket: Science,0,0.4302654229104519,0.3498254627791389,0.5,"[1, 0, 0, 1]",0,0.76311244815588,0.2204777517037418,0.75,"[0, 1, 1, 1]"
@USER please do .. i need the second hand embarrassment so desperatly on my phone ,1,0.6564184948801994,0.3342234454512882,0.5,"[0, 0, 1, 1]",1,0.7376424670219421,0.1741989427348014,1.0,"[1, 1, 1, 1]"
Yay for my family leaving & going to Seneca & leaving me to fend for myself . ,1,0.6627651229500771,0.3036093344970955,0.5,"[0, 0, 1, 1]",1,0.9116110354661942,0.0584281948003686,1.0,"[1, 1, 1, 1]"
It 's a Christmas miracle ! | |  HTTPURL,1,0.6948093473911285,0.2310376846888259,0.5,"[0, 0, 1, 1]",1,0.5913170203566551,0.393338606079962,0.5,"[0, 1, 0, 1]"
Buffalo sports media is smarter than all of us . Where else can you get the quality insight offered by Harrington and Busgaglia . ,1,0.7080164179205894,0.245980229641873,0.5,"[0, 0, 1, 1]",1,0.7185941934585571,0.2538090054350075,0.75,"[1, 0, 1, 1]"
Off to a slow start this morning . :weary_face:,0,0.59923274256289,0.3414500593739732,0.5,"[0, 1, 0, 1]",0,0.7792702913284302,0.2071956043989733,0.75,"[0, 1, 1, 1]"
This gone be some fire ! :fire: Jan 24th #getlifted HTTPURL,0,0.5818910291418433,0.3526159740093502,0.5,"[0, 1, 0, 1]",0,0.8966020941734314,0.0872485618732183,1.0,"[1, 1, 1, 1]"
Had a nice 3 hour nap . Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @USER I added water chestnuts to my dinner,0,0.6431897878646851,0.3494947131180465,0.5,"[0, 0, 1, 1]",0,0.8834239840507507,0.127523133220254,1.0,"[1, 1, 1, 1]"
yeah English stop saying Jane 's word,0,0.6712144687771797,0.2933784968932218,0.5,"[0, 0, 1, 1]",0,0.8488580286502838,0.1216468043143001,1.0,"[1, 1, 1, 1]"
I really really want apple pie boilo,0,0.5967359570786357,0.3740193825520449,0.5,"[0, 1, 0, 1]",0,0.8512349873781204,0.1448863352230756,1.0,"[1, 1, 1, 1]"
"Mmmm RT @USER : ! ! ! @USER : Faved . @USER : If Southampton wins , I 'll post a nude .. """,0,0.608697758987546,0.3583440880065086,0.5,"[0, 1, 0, 1]",0,0.8268209397792816,0.1341696745209924,1.0,"[1, 1, 1, 1]"
@USER do you think you would support a guy who knocked out your daughter ? Rice does n't deserve support .,0,0.6740435436367989,0.2683407804833878,0.5,"[0, 1, 1, 0]",0,0.8163261413574219,0.1975404122472324,0.75,"[0, 1, 1, 1]"
@USER @USER You do look a die hard fan of his ,1,0.5903301937505603,0.3609607055984481,0.5,"[0, 1, 0, 1]",1,0.6880674287676811,0.2209771202831275,0.5,"[0, 1, 1, 0]"
"I like how people freak out when they hear I 'm still getting paid while I 'm off for over 2 weeks . Join the military , duh .",0,0.6000163033604622,0.3831190690764964,0.5,"[0, 0, 1, 1]",0,0.6399709936231375,0.3725124016522103,0.75,"[0, 1, 1, 1]"
"@USER @USER @USER outta the boardroom , I to the partay ! ! #luvvit",0,0.6597618907690048,0.3144846712874016,0.5,"[0, 0, 1, 1]",0,0.6883625611662865,0.2635323034466662,0.5,"[0, 0, 1, 1]"
When someone tries to play you and you already know their game < < < #stepoff,0,0.5969851948320866,0.3481495932810775,0.5,"[0, 1, 0, 1]",0,0.8408306837081909,0.182261514339819,1.0,"[1, 1, 1, 1]"
"I 'm the guy for you Brooke Davis . #OneTreeHill this story is sad , thrilling and confusing . But I love it ! :smiling_face_with_heart-eyes:",0,0.6193674132227898,0.3481811494750303,0.5,"[0, 1, 0, 1]",0,0.853631317615509,0.203142206367097,1.0,"[1, 1, 1, 1]"
Is n't the point to learn how to craft our own reality ? What am I missing here ? Should we not be different ?  #wat ? HTTPURL,0,0.7037175074219704,0.2699173664971955,0.5,"[0, 0, 1, 1]",0,0.8808596730232239,0.1151908553898272,1.0,"[1, 1, 1, 1]"
@USER @USER @USER Remember when Pres . spoke of how great America is and how strong we the people are if we work together ?,0,0.6060103252530098,0.3719406769097712,0.5,"[0, 1, 0, 1]",0,0.7018855065107346,0.110359649596515,1.0,"[1, 1, 1, 1]"
Bday lily painting for @USER :purple_heart: HTTPURL,0,0.5975662544369698,0.2415130945200501,0.5,"[0, 0, 1, 1]",0,0.7504889518022537,0.1176367467869156,1.0,"[1, 1, 1, 1]"
"@USER : @USER : Me and Cam Newton will be engaged by the end of this year just wait on it lmao "" BYYER FOOLISHA "" < < good night",0,0.604949701577425,0.3684476794322322,0.5,"[0, 1, 0, 1]",0,0.6860198155045509,0.2911197795617392,0.75,"[1, 1, 1, 0]"
@USER @USER not bad for a kid from Az . Hockey does n't work in the desert . ,0,0.6132212802767754,0.3410199457258777,0.5,"[0, 1, 1, 0]",0,0.6271371282637119,0.3063333151746149,0.5,"[0, 1, 1, 0]"
@USER @USER I expected some sort of apple quip but that 's why you guys do the jokes and I do the news tbh,0,0.5352421179413795,0.2609853773592441,0.5,"[0, 0, 1, 1]",0,0.8606392592191696,0.0985184683226958,1.0,"[1, 1, 1, 1]"
@USER ready for Jeb  and first female #POTUS,1,0.4254388501867652,0.3766228497911351,0.5,"[1, 0, 1, 0]",1,0.5719715431332588,0.2932886099617899,0.75,"[1, 0, 1, 1]"
"It is so much easier for me to write how I 'm feeling than to actually speak it , I get nervous and stumble on my words if it 's on my heart .",0,0.6662631556391716,0.3133753898721651,0.5,"[0, 0, 1, 1]",0,0.7465950846672058,0.2217034688395736,0.75,"[1, 0, 1, 1]"
to have a highway clean up section of highway . people expressed their freedom of speech @USER @USER @USER,0,0.6418461427092552,0.3565493666851088,0.5,"[0, 0, 1, 1]",0,0.8624739944934845,0.1634863578083755,1.0,"[1, 1, 1, 1]"
@USER And this is a warmly ment  from me to You ! :-),0,0.6130171688273549,0.3788905044917788,0.5,"[0, 1, 0, 1]",0,0.7695770785212517,0.1903063458146019,0.75,"[0, 1, 1, 1]"
Original Content is hard to come by . - Anonymous #writingtips  #quoteoftheday,1,0.62814586982131,0.3335629617909421,0.5,"[0, 0, 1, 1]",1,0.7510927766561508,0.1546949083659167,1.0,"[1, 1, 1, 1]"
I 've definitely caught my sisters flu . Feeling a chesty cough brewing and it 's the best start to the week . TGIM ,1,0.5126878879964352,0.312377701816137,0.5,"[1, 0, 0, 1]",1,0.7424353659152985,0.2161479358300243,0.75,"[1, 0, 1, 1]"
@USER I was only clarifying for my LEGION of other followers .  ForTheIntellectuals #DrHandsomeDennis,1,0.6419471725821495,0.3144101221365998,0.5,"[0, 1, 1, 0]",1,0.7535042390227318,0.2482867931208634,0.75,"[1, 0, 1, 1]"
Tomorrow is the day I 'm coming back to Florida for good ... :( unless something changes in the next 24hrs which I doubt  #ready,0,0.6696374490857124,0.3309074926892519,0.5,"[0, 0, 1, 1]",0,0.8614171296358109,0.1175052555247295,1.0,"[1, 1, 1, 1]"
"@USER haha or are a chainsaw murder , or a corrupt fortune 500 ceo , or a rapist , w . e makes you happy .  #hebetripping",1,0.647087287157774,0.3502245363307129,0.5,"[0, 0, 1, 1]",1,0.8005862012505531,0.224529599665255,0.75,"[0, 1, 1, 1]"
Happy Monday all !  #pbloggers #mbloggers,1,0.5783466417342424,0.3339239585939885,0.5,"[0, 1, 1, 0]",1,0.7979375272989273,0.2351871795260116,0.75,"[0, 1, 1, 1]"
"@USER Hey Alex , thanks for the support . My FB page is : HTTPURL and success to you .",0,0.3999834964051842,0.3920176591836587,0.5,"[1, 1, 0, 0]",0,0.9063987582921982,0.083394356609289,1.0,"[1, 1, 1, 1]"
95 % of my clothes are black . #noshame :bomb:,0,0.597422344610095,0.3861769128475006,0.5,"[0, 1, 1, 0]",0,0.7787854224443436,0.2156527603455024,0.75,"[0, 1, 1, 1]"
@USER @USER ikr ! ! This is not a true Battlefield game ! :/ | . | . | . | . | | ,1,0.5909180380403996,0.3341649063844367,0.5,"[0, 0, 1, 1]",1,0.749958548694849,0.3266308858603065,0.75,"[0, 1, 1, 1]"
Off to search for a Christmas gift for my dad bc procrastination :wrapped_gift:,0,0.5155277838930488,0.3801696784100063,0.5,"[0, 1, 0, 1]",0,0.5947351306676865,0.3414445851442447,0.5,"[0, 0, 1, 1]"
@USER @USER your Irish fans can't wait ... Impossible to get ticket ... Boo hoo !,0,0.5691467095166445,0.3451940646111496,0.5,"[0, 1, 0, 1]",0,0.7077153734862804,0.3096963913657631,0.75,"[0, 1, 1, 1]"
Rocking the Christmas socks at work . It 's the little things like this that make me happy . #essentialservice :Santa_Claus: :Christmas_tree: HTTPURL,0,0.6210717633366585,0.3079373091161428,0.5,"[0, 1, 0, 1]",0,0.8025684952735901,0.176675690036987,1.0,"[1, 1, 1, 1]"
"@USER @USER WHAT $ 2 for an app , OUTRAGIOUS ;) ",1,0.6771254241466522,0.2805616905848244,0.5,"[0, 0, 1, 1]",1,0.85252445936203,0.1589833070463484,1.0,"[1, 1, 1, 1]"
Lol at people saying they 're turning 13 this year when did I start following kids #sorry,0,0.6128931380808353,0.3329329353661177,0.5,"[0, 1, 0, 1]",0,0.7850164547562599,0.265517568556223,0.75,"[0, 1, 1, 1]"
Seems as if @USER wants to endorse me on LinkedIn for  - any thoughts on this from the #OMCchat crowd ?,0,0.5513604618608952,0.3251640996506182,0.5,"[1, 1, 0, 0]",0,0.7436462193727493,0.1572776919174195,1.0,"[1, 1, 1, 1]"
"@USER If it 's a "" Blue Ribbon Panel "" , then it will be all good . ",1,0.5196552760899067,0.3328102526601615,0.5,"[0, 0, 1, 1]",1,0.5186860449612141,0.296904758291344,0.5,"[1, 0, 0, 1]"
Fuse blown in the media room ! Too much hallway vacuuming . Chaos about to break loose . #CanCup ,1,0.5761476494371891,0.3553821353526395,0.5,"[0, 1, 0, 1]",1,0.7790098041296005,0.1560856455995436,1.0,"[1, 1, 1, 1]"
Mid speech @USER Christmas Lacrosse Ball #flattering  @USER Grand Cafe HTTPURL,1,0.5239009745419025,0.4025034523698808,0.5,"[0, 1, 1, 0]",1,0.7361390292644501,0.1867451709693079,0.75,"[0, 1, 1, 1]"
Obama wants closer relations with a Marxist nation ... I 'm SHOCKED I tell you ! SHOCKED !  #cuba HTTPURL,1,0.5311202444136143,0.3568936557509422,0.5,"[0, 0, 1, 1]",1,0.6092921011149883,0.3051673296149645,0.5,"[0, 1, 1, 0]"
"Besides some overpriced holiday candles , I have n't seen one #CyberMonday deal worthwhile today . Brutal .",0,0.5325794760137796,0.3522859476571315,0.5,"[0, 0, 1, 1]",0,0.804097592830658,0.1218387119125178,1.0,"[1, 1, 1, 1]"
Lots if love for #Miranda ,1,0.6453277543187141,0.3210143240548282,0.5,"[0, 1, 0, 1]",1,0.3667350537143647,0.2779285861347812,0.25,"[0, 1, 0, 0]"
I am so happy that Thad ( the Lead Multiplayer Designer for Hardline ) followed me XD,0,0.6206979155540466,0.3525286964023219,0.5,"[0, 0, 1, 1]",0,0.831261083483696,0.1397661836090323,1.0,"[1, 1, 1, 1]"
"Oh crap , Mac shutdown corrupted iPhoto so hours of rebuild ahead , so might as well eat and drink ! #FestiveFattyBumBum",0,0.5431658085435629,0.4217577702530037,0.5,"[0, 0, 1, 1]",0,0.6084882579743862,0.3163127608167833,0.75,"[0, 1, 1, 1]"
I love procrastinating but I hate cramming .. - _ - ,0,0.5938938669860363,0.3634259153735913,0.5,"[0, 1, 0, 1]",0,0.8146623373031616,0.1757497492805183,1.0,"[1, 1, 1, 1]"
@USER Frisky at 2am ? That 's nothing new . ,0,0.6225323863327503,0.3560301626266421,0.5,"[0, 0, 1, 1]",0,0.7258358635008335,0.3418367398010296,0.75,"[0, 1, 1, 1]"
"@USER @USER In a musical , the music department is quite unimportant .  #umitsaMUSICAL",1,0.6026090011000633,0.3599206750763481,0.5,"[0, 0, 1, 1]",1,0.69521414488554,0.2218590777918302,0.75,"[0, 1, 1, 1]"
"@USER How do you propose to determine "" sides "" ? I have both black and white family members . #racewar  #LoveNotWar",1,0.5457786284387112,0.3270599567438786,0.5,"[0, 1, 1, 0]",1,0.7337834313511848,0.2713801500011845,0.75,"[0, 1, 1, 1]"
@USER @USER I 'm sure you 're all inconsolable ,1,0.4976013163104653,0.3360034446017181,0.5,"[1, 0, 0, 1]",1,0.6957414448261261,0.1677817438426413,1.0,"[1, 1, 1, 1]"
Well today can go fuck itself .,0,0.6235115453600883,0.3244276372032232,0.5,"[0, 0, 1, 1]",0,0.7569311112165451,0.2584267189147252,0.75,"[0, 1, 1, 1]"
