tweet,label_sarcasm,mean_confidence_sarcasm,variability_sarcasm,mean_correctness_sarcasm,correctnesses_sarcasm,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
"Just caught Jamie talking about me with his nan , he showed her a picture he took of me and she said "" aw she 's gorgeous is n't she "" MY HEART :pleading_face: :two_hearts:",0,0.5058250520378351,0.2880532260470602,0.5,"[0, 1, 1, 0]",0,0.8514247387647629,0.2105684012241612,0.75,"[0, 1, 1, 1]"
I am late to the same lecture every single week it 's so embarrassing,0,0.473567564971745,0.2754470147687785,0.5,"[0, 1, 1, 0]",0,0.8264403790235519,0.1757498990910052,1.0,"[1, 1, 1, 1]"
just a psa : you can be christian and still support basic human rights :),0,0.6472737565636635,0.1937376288718095,0.5,"[0, 0, 1, 1]",0,0.8602552264928818,0.1515270191922867,1.0,"[1, 1, 1, 1]"
"Happy new month to all my Mutuals and Friends on here , wishing us all good health and more financial breakthrough this month .",0,0.6102868393063545,0.256670432768656,0.5,"[0, 1, 0, 1]",0,0.5440354868769646,0.3057579230689967,0.5,"[1, 0, 0, 1]"
wow these kids are into musically.lly whatever and jacob sagittarius and I officially feel out of the loop . is this what growing up feels like,0,0.6027268096804619,0.1915499883486636,0.5,"[0, 0, 1, 1]",0,0.5881213918328285,0.1933304665030244,0.5,"[0, 1, 0, 1]"
sadly the only reason i stop making tiktoks is because my phone is about to die ...,0,0.6134810782968998,0.2725145904850999,0.5,"[0, 1, 0, 1]",0,0.7175454944372177,0.2890371647872475,0.75,"[1, 0, 1, 1]"
yo ima hott mess but at least i 'm hott,0,0.5493914745748043,0.3073956382387485,0.5,"[0, 1, 0, 1]",0,0.7487064599990845,0.1239854693014916,1.0,"[1, 1, 1, 1]"
James Harden is allowed to travel every time he drives apparently,1,0.4828227907419204,0.2932099266701229,0.5,"[1, 0, 0, 1]",1,0.5607204809784889,0.2819727721132559,0.5,"[1, 0, 0, 1]"
I ask myself everyday why did i pick art ?,0,0.6525654345750809,0.2692359575462748,0.5,"[0, 0, 1, 1]",0,0.8857898414134979,0.1350959610402102,1.0,"[1, 1, 1, 1]"
5 star personality 4.8 star uber rating,0,0.6336891427636147,0.2203934323037966,0.5,"[0, 0, 1, 1]",0,0.695096030831337,0.2996795583603676,0.75,"[1, 0, 1, 1]"
@USER @USER Very good . Just need to work on your spelling now :thumbs_up:,1,0.3735480047762394,0.2134448575860514,0.5,"[1, 0, 1, 0]",1,0.8754369467496872,0.0915581549103533,1.0,"[1, 1, 1, 1]"
finding vegetarian chocolate mousse is such an annoyingly hard task to do,0,0.5491779558360577,0.2522298262916642,0.5,"[0, 1, 1, 0]",0,0.7660623490810394,0.0836537703712968,1.0,"[1, 1, 1, 1]"
"Vaccine dose 1 . Thank you , science .",0,0.6156904771924019,0.2318756876965214,0.5,"[0, 1, 0, 1]",0,0.768665499985218,0.3566988666783898,0.75,"[0, 1, 1, 1]"
"For anyone with Three network , you can upgrade or pre order over the phone , online has n't been updated .",0,0.670481726527214,0.2791508941226628,0.5,"[0, 0, 1, 1]",0,0.8494073748588562,0.1205463969095796,1.0,"[1, 1, 1, 1]"
If Nick Lachey wins TMS I will be so bitter .,0,0.5479624979197979,0.3219894473968908,0.5,"[0, 1, 0, 1]",0,0.8069802969694138,0.1373665486054012,1.0,"[1, 1, 1, 1]"
Why are tanning beds legal ?,0,0.6012326031923294,0.2517423643992407,0.5,"[0, 0, 1, 1]",0,0.8136345744132996,0.20470033753688,0.75,"[0, 1, 1, 1]"
@USER Please DO YOUR JOB or resign . Enough is enough .,0,0.6333492323756218,0.2529195626361937,0.5,"[0, 0, 1, 1]",0,0.8169986456632614,0.1795130380744181,1.0,"[1, 1, 1, 1]"
Me : on a scale of one to ten how cute are the babies you see in clinic ? Rob : that chunky baby the other day was a ten . The one I saw today was a three--so pale . To be fair she 's in the hospital and very sick .,0,0.6324801743030548,0.1741082277832352,0.5,"[0, 0, 1, 1]",0,0.8614656329154968,0.0897008899540383,1.0,"[1, 1, 1, 1]"
Oh my what was that noise ? The dog is n't happy either ! #loudbang,0,0.6372942253947258,0.2479606498923458,0.5,"[0, 1, 0, 1]",0,0.7422796413302422,0.2355864309467324,0.75,"[0, 1, 1, 1]"
Just wanna exaggerate that I would die for David Attenborough,0,0.590751625597477,0.2096262829901243,0.5,"[0, 0, 1, 1]",0,0.6090941238217056,0.3604487441184437,0.75,"[1, 1, 1, 0]"
"@USER the people who are going "" yeah well The Assault Man said he did n't assault her so she 's a liar "" are making ME crazier just from exposure",0,0.6503819152712822,0.2287668671749512,0.5,"[0, 0, 1, 1]",0,0.538233270868659,0.3254713292462823,0.5,"[0, 1, 1, 0]"
Congratulations to Qpfc Champions of League 2 #whowantsasuperleague,0,0.5903115198016167,0.1983635630816766,0.5,"[0, 1, 1, 0]",0,0.8193103522062302,0.1646759176617724,1.0,"[1, 1, 1, 1]"
It 's only now that I 'm seriously trying to save that I 'm regretting treating myself to something new almost every week last year for just surviving my first few terms of teaching :money_with_wings: :money_with_wings: :money_with_wings:,0,0.6439098119735718,0.2775460701267517,0.5,"[0, 0, 1, 1]",0,0.8300183564424515,0.1442428723361505,1.0,"[1, 1, 1, 1]"
"it 's amazing how many people get mad at you for simply Raising Questions , such as “ what if the vaccine makes your balls inflate like helium balloons and cause you to float away to never be seen again ”",1,0.5507015138864517,0.1842889357820916,0.5,"[1, 0, 1, 0]",1,0.7969546467065811,0.1435044374890762,1.0,"[1, 1, 1, 1]"
Target just brings me too much joy,0,0.6531940996646881,0.2535262673816783,0.5,"[0, 1, 0, 1]",0,0.8133951276540756,0.1462722933071599,1.0,"[1, 1, 1, 1]"
@USER My neice ( 4 or 5 at the time ) * loved * playing Mario Kart 8 with her dad using the acceleration and steering assists . Before that she was mostly a spectator while he played kid-friendly games like Ape Escape .,0,0.6207113415002823,0.1265060368328247,0.5,"[0, 1, 0, 1]",0,0.6168946474790573,0.2708937961567459,0.5,"[1, 0, 1, 0]"
love seeing that my mom has officially started posting about the horse worm medicine being good for covid actually and they 're just trying to make it look bad bc it 's so cheap :zany_face:,1,0.6776999458670616,0.2220976408399259,0.5,"[0, 0, 1, 1]",1,0.8951482623815536,0.08046044983537,1.0,"[1, 1, 1, 1]"
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,1,0.5982407107949257,0.2961917160103959,0.5,"[0, 1, 0, 1]",1,0.7724766284227371,0.1936891126508828,1.0,"[1, 1, 1, 1]"
"facebook is so ridiculously broken . absolute garbage platform , -2/10 .",0,0.5720567889511585,0.3490958497411608,0.5,"[0, 1, 1, 0]",0,0.815705344080925,0.1649675425404052,1.0,"[1, 1, 1, 1]"
oh cool I drive to school in less than 12 hours and I 'm frantically looking up fun facts about the final destination franchise for absolutely no reason it 's fine everything 's fiNE,0,0.5694286078214645,0.1967803336072746,0.5,"[1, 0, 1, 0]",0,0.6733589321374893,0.2854156175760335,0.75,"[0, 1, 1, 1]"
HTTPURL,0,0.6465318351984024,0.2596215599396893,0.5,"[0, 1, 0, 1]",0,0.7878715395927429,0.1660371513034254,1.0,"[1, 1, 1, 1]"
Ai n't never really had a daddy so I 'll never really need one 🤷🏾‍♀,1,0.5947364941239357,0.2239753109906017,0.5,"[0, 0, 1, 1]",1,0.7993346229195595,0.2896960271412384,0.75,"[0, 1, 1, 1]"
"@USER @USER @USER @USER I know , right ? He even wanted poor people to be healthy , because he was basically a fucking communist . What a hippie .",1,0.6454786509275436,0.2687509197357829,0.5,"[0, 0, 1, 1]",1,0.5966965407133102,0.2671896241051401,0.75,"[1, 0, 1, 1]"
can't believe the covid vaccine made me lose a limb . i thought being tracked was the only side effect,1,0.6718791127204895,0.2391702563060497,0.5,"[0, 0, 1, 1]",1,0.8285517692565918,0.1687657290446386,1.0,"[1, 1, 1, 1]"
"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn ; I felt he wanted everyone to know how cool he is , so I decided to tweet about it on his behalf .",1,0.6999248787760735,0.2571597438745538,0.5,"[0, 0, 1, 1]",1,0.6565216407179832,0.3189766303892378,0.5,"[0, 0, 1, 1]"
@USER Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed ( sic ) tee-shirt - you made my Friday night sir ... just awaiting your instructions so I can wire the money ...,1,0.5959995463490486,0.2864716646390979,0.5,"[0, 0, 1, 1]",1,0.8203660100698471,0.1649953006096703,1.0,"[1, 1, 1, 1]"
@USER And you said Donald trump was racist :expressionless_face:,1,0.6429759562015533,0.2149658509327322,0.5,"[0, 1, 0, 1]",1,0.7852672711014748,0.2411736723751064,0.75,"[0, 1, 1, 1]"
"#bbcqt It sure would be nice if Ms May decided to answer a question , rather than dance readily around it .",1,0.5554987825453281,0.283028758178187,0.5,"[0, 1, 0, 1]",1,0.7702481560409069,0.3058764763481543,0.75,"[1, 0, 1, 1]"
"Thinking about that time Blizzard had the brilliant idea to change everyone 's name on their forums to their real names . God , what an idea that was .",1,0.6404040679335594,0.2595508808176223,0.5,"[0, 1, 0, 1]",1,0.7141165509819984,0.2136675060933132,0.75,"[1, 1, 0, 1]"
Today my pop-pop told me I was not “ forced ” to go to college :upside-down_face: okay sure sureeee,1,0.5642514154314995,0.1444798857491566,0.5,"[0, 0, 1, 1]",1,0.9086627960205078,0.0553543277780861,1.0,"[1, 1, 1, 1]"
"Wow the Prime Minister is so good at the telling the truth , yet again he just can't stop telling the truth about Brexit !",1,0.6508867889642715,0.2419580086166244,0.5,"[0, 1, 0, 1]",1,0.938978299498558,0.0233989147890295,1.0,"[1, 1, 1, 1]"
"Well , I had hoped the election would be called in time for my quarter-century birthday two days ago , but I 'll accept this belated present from my fellow Americans . #BidenHarris2020 #election",0,0.5779052674770355,0.1749694680194388,0.5,"[1, 0, 1, 0]",0,0.8307895436882973,0.2089891470481319,0.75,"[0, 1, 1, 1]"
"Well , at least the covid situation seems to be improving in time for christmas ...",1,0.7144031673669815,0.2299781983166141,0.5,"[0, 0, 1, 1]",1,0.9383975267410278,0.009638186906567,1.0,"[1, 1, 1, 1]"
How is my highest grade in A & P,0,0.4428732693195343,0.2714335398975319,0.5,"[1, 1, 0, 0]",0,0.8193942606449127,0.157458621535335,1.0,"[1, 1, 1, 1]"
Tips in hospitality during the festive season make it all worth it !,1,0.5959540978074074,0.2596309395839302,0.5,"[0, 0, 1, 1]",1,0.7683969587087631,0.3194997174128772,0.75,"[1, 0, 1, 1]"
the time is currently 00:24 and the single thing rattling around in my brain is the noise those door stoppers make . you know the one,0,0.4692681059241295,0.1920513810629277,0.5,"[1, 0, 1, 0]",0,0.7657404541969299,0.182773505509337,1.0,"[1, 1, 1, 1]"
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1,0.5738146547228098,0.3226632524839847,0.5,"[0, 1, 0, 1]",1,0.8957305997610092,0.0608670616124734,1.0,"[1, 1, 1, 1]"
"So you can't really get huckleberries outside of MT / WY area because they 're hard to cultivate and need to be picked by hand at high altitudes , making them ~ $ 65 / lb . But bears love em and will go to town and eat like $ 300 of huckleberries in a sitting and I love thinking about that",0,0.5402764603495598,0.1920867470849782,0.5,"[1, 0, 0, 1]",0,0.7600576356053352,0.2182830124523869,0.75,"[0, 1, 1, 1]"
When I grow up I wanna be a sociopath,1,0.599971279501915,0.2687217260042847,0.5,"[0, 0, 1, 1]",1,0.7991863265633583,0.2378158658054444,0.75,"[0, 1, 1, 1]"
Halfway through snowboarding day 1 and pretty sure I have fallen at least 69 times :grinning_squinting_face: :Cancer:,1,0.5760789662599564,0.2629300582580276,0.5,"[0, 0, 1, 1]",1,0.7833985686302185,0.1523054531859503,1.0,"[1, 1, 1, 1]"
dogs and cats are happy animals . i pity anyone who can not love upon these magical creatured because of allergies . only heathens dislike them . i can not be a part of a friendship where the alternate person has even the slightest disinterest in them .,0,0.6252375394105911,0.2414817738154568,0.5,"[0, 0, 1, 1]",0,0.9086298197507858,0.0660633320894989,1.0,"[1, 1, 1, 1]"
Can a burrito change the world ? Do n't miss Chipotle 's first Game Day commercial HTTPURL #bonuspoints,0,0.5847317278385162,0.1922104542944056,0.5,"[1, 0, 1, 0]",0,0.7663668766617775,0.184306024936664,0.75,"[0, 1, 1, 1]"
Wow ... the universe gave me the task of a potty training a whole human ? the audacity .,1,0.5434995070099831,0.2010161488698939,0.5,"[0, 1, 1, 0]",1,0.6674317345023155,0.2600977099223209,0.5,"[0, 0, 1, 1]"
please i just want a gp that can prescribe me my bridging hormones,0,0.5515497177839279,0.2511328930623393,0.5,"[1, 0, 0, 1]",0,0.8070201575756073,0.1018669820769392,1.0,"[1, 1, 1, 1]"
Lol at my life :),1,0.5391390454024076,0.3197579929099108,0.5,"[0, 1, 1, 0]",1,0.684562437236309,0.1981948954593101,0.75,"[1, 0, 1, 1]"
"Having a really busy day , might only manage the one box set today",1,0.613248236477375,0.3624004170653825,0.5,"[0, 0, 1, 1]",1,0.610664501786232,0.3873076469023244,0.5,"[0, 0, 1, 1]"
Ahhh I get to listen to a cement mixer all day . Awesome .,1,0.5894462019205093,0.1790875541174071,0.5,"[0, 1, 0, 1]",1,0.7870768904685974,0.1725729228155929,1.0,"[1, 1, 1, 1]"
I 've been laid off ! ! Nice :) ),1,0.5573905482888222,0.2627160383261576,0.5,"[0, 0, 1, 1]",1,0.9399453550577164,0.0358643022706006,1.0,"[1, 1, 1, 1]"
This is so good HTTPURL,0,0.4566159155219793,0.2901292685226324,0.5,"[1, 1, 0, 0]",0,0.8083982914686203,0.2062033463702312,0.75,"[0, 1, 1, 1]"
"Boy , I sure do love being constantly misgendered by my cis relatives at family gatherings :upside-down_face:",1,0.5863451287150383,0.3200644872821231,0.5,"[0, 0, 1, 1]",1,0.7373022437095642,0.3566076687555011,0.75,"[1, 0, 1, 1]"
