tweet,label
@USER RT @USER : Baby name  . #dataviz | | Source : HTTPURL HTTPURL,0
 long to wait till released CO2 turns up temperature - HTTPURL HTTPURL,0
@USER @USER At least you got my joke,0
HEY LOOK THERE ! ,0
Baking bread and hanging with a glass of wine in leggings and a sweatshirt with football on . HEAVEN ! If only the snow had n't turned to rain .,0
 EBOLA | BUT GREED AKA BADMIND KILLS EASILY AND QUICKQUICK HTTPURL,0
"Standard Christmas newsfeed . Diamonds everywhere , everyone 's engaged . Congratulations . #original  #Christmas #engaged",1
that fits @USER @USER @USER @USER,0
Thanks GORI-san | #djgori  for sale HTTPURL,0
"If a foreign power hit Japan 's embassy in NYC with a missile , not really an attack on US . In that sense , I agree with you . @USER",0
Sorry this does n't make any sense why make it even more tough ? That 's going to produce more players ..  HTTPURL,1
:party_popper: It 's Monday ! :party_popper: ,1
@USER You blew my mind on #AHSFREAKSHOW You 're brilliant .,0
 is the name of the game . HTTPURL,0
YOU blame him for everything else @USER @USER @USER @USER @USER @USER @USER,0
"While we applauded ourselves on getting to the Moon , Carl Sagan spoke a truth we all denied . |  HTTPURL",1
Taking Over the mansion with the Mexicans  @USER,1
StephenFry : @USER Oooh - busted by superior understanding ... ! Crestfallen and shamed .  HTTPURL,1
Lord have mercy on us . The world 's most powerful nation is ruled by two families . #Bush #Clinton #wasps #elxn2016 HTTPURL,0
"Sad I do n't have a Christmas jumper , thanks @USER for your super fast delivery :thumbs_up: ",1
Stuck in the traffic at 7.55 am . Yuppy - . -  #happytuesday,1
"again , your myth of "" racist DNA "" is still only a figment of your delusional imagination @USER @USER @USER @USER",0
I still love the newsroom regardless of what everyone else thinks,0
"Sony Studio Bosses To Employees : Do n't Worry , We 'll Be Fine HTTPURL I know I 'd feel better .  HTTPURL",1
check it out ! HTTPURL ,0
#forgive #others  #because they #deserve #forgiveness #you #peace love this from @USER #words #wisdom ... HTTPURL,0
Just flossed and then ate right after #inconvenient ,1
All hell is breaking loose ... Ahhhh everybody freak out ,1
With no forwards . #confused  sure,0
Today I do n't feel like doing anything | ,1
@USER it 's finally open XD I used a youtube video to help me :) Thanks very much ;) HTTPURL,0
Bae had an energy drink and wants to stay up ... but I 'm so sleeeeeepy . #love #sleep,0
"Faux Leather Size Zipper Sleeveless Scoop Back Midi Dress | Size : s , m , l | Price : $ 39.99 | Leave email for ... HTTPURL",0
"Sooo mad right now , great way to start my day ",1
"@USER @USER good old JK landing people in trouble again , ffs William i thought you were more savvy than that ",1
"Pain is inevitable , suffering is optional | #Anonymous",0
@USER how do you like that loss son ?,0
@USER @USER wish I was there . maybe next year . I 'll be the one with the mad socks . no clothes . just socks .,0
#Patriots #report #card : #Grades  #half bad : Tom Brady throws under pressure in the 2nd quarter during Sundays HTTPURL,0
@USER sounds like the LA end of days ! ,1
A SMILE is a smile is a smile is a smile is a SMILE IS A MILLION PEOPLE STARING AT YOUR PISSED PANTS MANIC LAUGHTER smile,0
Finals Week is draining my body so much that it 's ruining my life in other places . Lovely ... ,1
"@USER add some "" Your Baby Can Read "" DVDs ... ya know ... just in case lol :smirking_face:",0
Welll helllo fever . Id say 103 is feelin real good today ,1
People are n't as beautiful as they look #people  #beautiful #look #walk #talk #personality #love #care #share HTTPURL,0
Sums up my week really  #NursingLife #WorkingDaysAndNights HTTPURL,1
"I guess I 'll eat leftovers for breakfast AGAIN , while others get black bear .. #cuzididntwantgoodfood  #truth #hungry :unamused_face: :thumbs_up:",1
Ca n't wait for my 7:30 am #dental appointment tomorrow ! | Oh time please speed through today !  !,1
"Grace is a free spirited 8 yr old with the most humble heart . Aspiring model / actress , she also enjoys #piano and dance.Follow > @USER",0
I 'm kinda missing summer @USER . | . | . | #summer #2o14 #bestie #alena #bestfriend #idek #we #cool  #chips #food #followme #ifoll ...,0
#All #And #For #Hot  #Rachel #style #fashion | Please RT : HTTPURL HTTPURL,0
NEW #HipHop MUSIC : > @USER - Crack Music : HTTPURL #JerseyCity #NJ #NY #BirthOfAWinner,0
@USER @USER it 's in my Priory contract to wear those . Hugely popular with Priory Ultras #does  #count #xxx,0
@USER I liked .. Do n't regret anything that made you smile ... Ha ha,0
 Bad Idea When You climb on the mountain HTTPURL,0
"not that it matters , a message board thread is not an authoritative source @USER @USER",0
 a Bad Gift : Wall Gives Gooden $ 100K Cash ( via HTTPURL ) HTTPURL,0
@USER @USER @USER @USER @USER @USER,0
Abraham was actually from modern day Iraq ( Ur of the Chaldea ) @USER @USER,0
@USER Scream this message : We want the security footage ! ! ! #AntonioMartin #Ferguson #EndRacism #SocialJustice #BlackLivesMatter,0
Happy 2nd anniversary to me in SGV . Happy OT here in client . Woohoo . I loooooove my job . Super . More years to go ! ! ! ,1
Gavaskar is a freakin ' genius .  HTTPURL,1
Shitty drivers are always fun . ,1
. @USER is at her best when she reports frm ' on the field ' . Not that she is bad at studio but on field she is a true story teller .,0
Is Obamacare Slowing Health Care Spending ?  HTTPURL via @USER,0
"Join @USER PromoTeam 's Official Fan List and receive news , events , and more ! HTTPURL",0
@USER @USER patio tumbler goodness #Mac12days,0
For 9 grand a year we definitely get all of the information we need in this practical class ,1
Thank God the #Knicks re-signed Carmelo .  #TheBullsCanHaveHim,1
"@USER now , to remember which book ... #goodluck",0
"@USER it could have happened to anyone . Your time will come , critics . Oops , apologies . A typical  - loving #Brit .",1
I just love EU servers ... ,1
"Day 9 "" something your reading "" #decemberchallenge #lovehistory #lovenonfiction .. :check_mark_button: @USER Our Cosy House HTTPURL",0
@USER To the officer 's defense ... that was a very scary looking phone .  #BlackLivesMatter,1
Aaaaaaaaand we 're back in the ER . Hooray for no sleep ! ,1
@USER The pace of KCRoyals activity at the Winter Meetings is giving me vertigo ! ,1
"@USER Hey Alex , thanks for the support . My FB page is : HTTPURL and success to you .",0
@USER He 's just trying to drive Suh 's price up . ,1
LoL game over Napoli win and they are better then Juve,0
"Workaholics : if you 're sick , do n't let that stop you from bringing your germs into the office . We all appreciate your commitment . ",1
My solo costume so far is Charcoal Grey Bottoms ... making some real progress . ,1
@USER @USER @USER sure that will end well ,1
Let 's all do only squats and deadlifts until we hurt ourselves - - really really good trainers #fitnessmotivation ,1
* gasp * The girls are at a rehearsal studio today ? You do n't say ... Hmmm wonder what on earth for ? :frog: :hot_beverage:  #MTVStars Little Mix,1
Thanks for the AWESOME support on our #instagram page . Much appreciated . HTTPURL #women #motivation #rolemode,0
@USER annnnddddddd your opinion is irrelevant,0
Full on man flu just in time for a weekend of work ! ! #awesome  #coldandflu,1
Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep,1
"@USER @USER @USER this is true , the Patriots , Packers , or Broncos could suddenly need a new coach  #itshappening",1
 just like that HTTPURL,0
@USER That 'll work ...  #HellBeFiredinElevenMonths,1
Feeling like crap . And being treated horribly too . It 's a great day .  #iwanttogohome,1
#we are  #perfect but it is #neccesary for #us to #be the #best # version of #ourselves HTTPURL,0
@USER Damn . That would have made excellent thing to recount in autobiography ;p,0
Every wondered what 's the Turkey 's take on #Thanksgiving ? HTTPURL HTTPURL,0
I love the meaningful messages of automake . ,1
@USER Makes me so proud to be an American ,1
@USER thanks for the spoiler ! ! ! ,1
It 's snowing in Chicago #whitechristmas ,1
WAIT the GA I have a crush on and emailed me and told me it was great to have me in class :smiling_face_with_heart-eyes: :red_heart: :face_blowing_a_kiss: he totally loves me ,1
I just love freezing rain . ,1
@USER another case of away the lads  or to put it in song tell me why we do n't do north london ! ! #TyneWeirSunday,1
Decemberbessen  #fail #footprint sorry ... HTTPURL,1
"@USER @USER . @USER has warned @USER about Bassem.Heck , they might already know him ! #Ferguson #NYC",0
@USER Thank you for staying Tom !,0
These girls can wake up people from the dead !  #worth #watching,0
wow they seem to be so turnt ,1
I love how when I 'm stressed my body decides to react by causing me massive pain . ,1
Nothing like the 24hr swing back to being a day walker to make you feel like a million bucks ...  #shiftworkerlife,1
@USER WHO LOOK SO MUCH ALIKE OMG lashwkaywiduwb ,0
"@USER @USER The link says "" The requested page could not be found . "" | | Was the  intentional ?",0
I 'm pretty sure this bad boy is worth at least 6 stokes per round ! #dreamon  @USER 913 miranda place HTTPURL,1
"I love math , I 'm so amped for my final like 7 hours from now . I hardly studied for it . #IBeenDoingIntegralsSinceThe5thGrade  :grinning_face_with_smiling_eyes: :winking_face_with_tongue: :face_with_tears_of_joy: :persevering_face: :anxious_face_with_sweat: :tired_face: :confounded_face:",1
". @USER @USER / RBRNetwork 1 @USER @USER I think it 's your white skin . Or "" racist DNA "" . He 's a geneticist too , did ya know ? ",1
@USER : hey sorry im late i didnt want to come #myperiod,0
"Off in to town to get a bday prezzy , how rude to have a birthday in Xmas week #BusyBee",0
Hashtags are great idk why everyone stopped using them #jk  #bye,1
And then there was none . Goodbye beard ( of sorts ) #MensFashion  HTTPURL,1
"Wings ? I do n't have wings ! | "" Of course not ... You 're a boy ! """,0
I just love when you test my patience ! :smiling_face: ,1
"In #Business , knowing ' what  to do ' is very imp . #SayNo to anything that comes b / w u n ur #dreams . Even #money . #entrepreneur #tips",0
#Germany - - #ECB 's #Weidmann #says #German #2015 #growth #may #be #better #than #expected . HTTPURL via @USER,0
So far today is going AWESOME .  #fuckoff,1
@USER I am sure this has made your day . LoL ,1
@USER No ! I rarely drink at all . Got a stomach bug :-(,0
"@USER @USER ooh , that looks like so much fun ! ",1
What 's the correct word for racism ( towards white people ) ? | There is none . | #racism | #is |  | #good | #4anyone,0
My bed time stories are awesome  #theyllgiveyounightmares #ohwell #youaskedforit,1
There 's nothing more intimidating than having to serve an chavvy lanky 19 year old with acne and bum fluff .  #cringe,1
"Looking forward to a nice and long 130km #cycle tomorrow , in the minus degree weather  #fool #festive500",1
Well got the truck buried today perfect way to start a rainy Wednesday work day off  #annoyed #pissed,1
@USER Things also go slowly when you are waiting for them especially !,0
you are the one LYING @USER @USER @USER @USER @USER,0
Lol at the #EatenAlive show . if that 's the name of the show gotta do it not quit cause the snake was hurting his arm . #goodtv  #garbage,1
@USER lol of course it 's the best ! ! ,1
Friday morning lecture on blood :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: ,1
@USER yup it must be good to be ivy league Educated because it does alot of good ,1
"@USER , You ARE pretty so I better play your "" free "" #SkinnerBox game . I 'm sure it wo n't ask for my money after a few levels . ",1
Love the fact I 'm sick on my birthday ,1
@USER you sound just like Jack Kerouac | ,1
 RT @USER : Should be great watching Miami try to block Sweat and Featherstone off the edge next two years . Real fun stuff,1
You 're still shit @USER #cheater #pong,0
Confucius Motivational Quotes FREE ANDROID APP HTTPURL,0
Image via We Heart It HTTPURL #boy #funny #girl # K #mad  #ok HTTPURL,0
Yay for another work at 4am day :neutral_face: ,1
Two hour drive this morning with the instructor . Oh yes ..  #scaredshitless #yikes,1
"Love how the adverts for the woman in black 2 say "" you wo n't sleep for weeks "" ... way to sell it to me :flushed_face:  #SheNeverLeft",1
Just found the picture of lisazamorano trying to kill me #bff at our #seniorbrunch @USER Moutain Meadows HTTPURL,0
"#Aussie #gunman #was  #on terrorist #watch #list , PM #says : SYDNEY – The gunman who took 17 hostages in Sydney ... HTTPURL",0
"#Comptroller : #CitiBike #Stations , #Bikes  #Being #Properly #Maintained : As CitiBike gears up to expand , the ... HTTPURL",0
@USER and a strut to boot,0
Just found out there are Etch A Sketch apps .  #oldschool oldschool,1
@USER seriously in the clothes section F & F,0
"@USER Because your "" sarcastic "" ? #Sarcastic ",1
Today is awesome ,1
"May be cold tomorrow , December 28 , 2014 ! A low of - 7 ℃ - dress warm !",0
A #Meme for your #Monday ! #MemeMonday #Obama #Obamacare #AcidReflux  #StandUpShot #JokeoftheDay #Comedy HTTPURL,0
It 's super duper fun waking up and immediately shoveling your car out of your driveway for 20 minutes  #fuckinsnow,1
Those Amarillo hops make it just right #goldilocks - Drinking a Tour de Fall @USER Memphis ' Pint & Dram - HTTPURL #photo,0
There is nothing I love more than listening to the black eyed peas on the way home from a Saturday night loss in petrolia #killerband ,1
"Pepe 's hair RT @USER : Palacio 's hair ... "" @USER : Ronaldo hair .. "" @USER : Messy hair :heart_suit: """,0
Why does sue give bonnie anxiety and stress pills ,1
@USER what happens if I RT ?,0
@USER @USER @USER And it starts :P | #GetEnchanted,0
I have to leave for school at 9am and I 'm still in bed #fucktherain #wherearemyhunters #imgonnalooksocutetoday ,1
Ooh ! Someone knows how to click the ' Unfollow ' button . I 'm impressed !  #beforeCoffee HTTPURL,1
The #AdvancedWarfare campaign was only 6 hours - _ - | PS : It 's still better than BF4 ' s campaign tho ( that I did n't finish ) :p,0
@USER :pouting_face: no he bloody is n't I was upstairs getting changed !,0
95 % of my clothes are black . #noshame :bomb:,0
Hardest parking i 've probably ever done ! #screwyousmallparkinglot,0
@USER I 'll snap at you if you tell me what to do again ! | :face_with_tears_of_joy:  #funnyGuy,1
Everyone competing against each other for privatized goods is way better than working together as a whole to advance humanity . ,1
What a joke . Thanks for the detailed response and communication with your customers .  @USER @USER,1
Insanity is doing the same thing twice and expecting different results,0
WOW ! ! ! Really ? ? ? Homework in the weekends ? !  #talkingabout #theteachers :pouting_face: :pouting_face:,1
"What a lovely morning , #Delhi government bans #Uber - looks like rape will stop in Delhi now  #aretheyserious",1
Loooovvveeeeeee when my phone gets wiped - . - ,1
@USER : Wenger slams referee HTTPURL ( Sky ) #saintsfc ha ha ha ha for being too blatantly bias towards them ? !,0
I take blazing hot showers so I can get used to burning in the pits of hell . #ifitsreal ,1
it 's International Human Rights Day ,1
"I have footy socks on , trackies , a tee , a fluffy dressing gown and I 'm wrapped up in my quilt ... I sweating bean but shivering my nuds off",0
"@USER Hey , he DOES have the word "" ban "" on his home page like two or three times though . #AcknowledgementIsFirstStep ",1
I did n't know it 's your territory I really . .. WHAT ARE YOU DOIN - no . . Please do n't shoot at me I . .,0
UK PM making sure child abusers are brought to justice . I can assume people will be brought to justice  #lies HTTPURL,1
@USER a ghostwriter ? Shocked ... ,1
Well today has just started off great . ,1
"BJP-CONGRESS nt disclosing detail of 3600 cr . donation received , still Media / Bhakts questioning AAP  #MufflerMan HTTPURL",1
Congrats still SASMVT for a good run . Ulitin nalang ulit ang 6 - peat next year :),0
Is holding not a rule anymore ?,0
Please dont fuck with me when I first wake up  a morning person !,0
What I did for my food at the Spanish party !  HTTPURL,0
I just LOVEEEE finals soooo much . And not getting any sleep is the best part about them :astonished_face: :water_pistol: ,1
Suppose I best move my arse to the #gym . Anything to put off wrapping presents :confused_face: :wrapped_gift: #christmas #chore,0
@USER I mean that all matter this game ,1
Isabelle sends me the nicest texts  :persevering_face: :confounded_face: :broken_heart:,1
I have such a wonderful gf ! ,1
When u callin I 'm tappin lol  sorry,1
One of my favourite things about going to fanshawe is walking to the Z building ,1
So lakeside was like 7million scavengers all in 1place #hadfun  #neverboxingdayshoppingagain,1
For some reason I feel the classiest when I 'm wearing $ 3 fake pearl necklaces .  ? Lol,1
Xmas on the blog feat @USER and @USER * Read our story and share the LOVE :red_heart: Click the link ... HTTPURL,0
"Christmas Day , Boxing Day and New years day off just is n't enough ! So much to do for me & others this month  #enough #hours #in #the #day",0
#bitch #bitchy #badass #lol #laughing #jokes #sarcastic  #funtime #funny #fun #ecards ... HTTPURL,1
Next day makeup just looks so hawt :kiss_mark: ,1
 a bad game last night . Way to go Packers ! HTTPURL,0
Overcast at Creso . #todayimloving #beachwalk #crescenthead HTTPURL,0
@USER : :raising_hands: :raising_hands: HTTPURL #fitfam #fitness #health,0
 does n't convey what I want though . #twitterproblemsforme,0
suddenly w-wada  HTTPURL,1
A year ago | my cat was hit by | a car ... this is him | today . is a great quote,0
Love waking up to my face being licked by my puppy .. ,1
Cool . ,1
Lol at people saying they 're turning 13 this year when did I start following kids #sorry,0
I love my mom ,1
"I was going 2 post my opinions on #obama #cuba but i will save it , till after his #speech . #peacemaker ",1
"@USER @USER Was n't that full in the nosebleeds where I was sitting , but it was fun ! Crowd reacting to JoePa is my fav memory .",0
"@USER no , not anymore . :persevering_face:",0
@USER @USER @USER When / how did the ACL tear happen ?,0
"@USER Would be also great if David teamed up with his old man again at the Carols , similar to a few years back . #Greatdou in both cases",0
@USER : . @USER awk moment when I tweeted first #fakefan ! ! ! ,1
It 's almost 1am and @USER and I are arguing on why the guy is cute or not . Really . This is our lives . Come on were adults . ,1
"I actually just started crying while brushing my teeth due to lack of sleep , stress and test anxiety . Today 's gonna be a good one ... ",1
New homeschool year . New Marketing business . Clickbank University . Wealthy Affiliate . Writing the book finally . #holyschedule #needanapp 0_0,0
"Watching the news being like ; "" oh this totally restored my faith in humanity . "" ",1
"Will #NASA go metric before it inches to Mars ? 3,600 miles is 5,794 kms by the way #OrionLaunch #NASA_Orion HTTPURL",0
Tomorrow will be a great day ... ,1
Tamir Rice 's Memorial is today . His family had plans of seeing him grow up . Not gunned down by police . Police ?  HTTPURL,0
@USER I hate you lol,0
@USER @USER @USER @USER @USER @USER @USER not now guys finals  :hundred_points:,0
"Fell asleep @USER 8: 30pm , woke up at 12:00 am . Ca n't get back to #sleep . I had almost forgotten about you #insomnia - welcome back . ",1
#your biggest task is to get me to look #how shall one do that ?  looking #none of them #cleverclogs #shld #know #my #nakhre too,0
Glad to know my friends are supportive ,1
Just gave Imperfecto a 3.5 / 5 rating on @USER HTTPURL,0
Blackpool today for an interview .  the weather for the beach,0
Obama wants closer relations with a Marxist nation ... I 'm SHOCKED I tell you ! SHOCKED !  #cuba HTTPURL,1
@USER All # U Can Do Beautiful Is Your #BEST Winning Is  Important Taking Part & Having Fun Is What Matter 's :-),0
But it 's time to face the truth ... I will never be with you,0
#pick #up #linez  to use | Boy : When u smile its like the sun | Girl : Awe | Boy : because ur teeth are so yellow |; ),0
"Sunset for January 04 , 2015 at 04:39 PM ! Temperatures : 6 ℃ . It 's Partly Cloudy .",0
@USER nice . We make it in a pot with butter & Himalayan salt . Sometimes with infused salts for a change .,0
cies #eu Cleaner air would offer major health benefits in the Balkans HTTPURL,0
"It is so much easier for me to write how I 'm feeling than to actually speak it , I get nervous and stumble on my words if it 's on my heart .",0
Pretty much the real deal  #thanksmom HTTPURL,1
Shhhhhh ... nobody move ... they 're playing a NON-electronic game together ... NICELY ! ! ! ... HTTPURL,0
I just love being ignored :smiling_face_with_smiling_eyes: |  :unamused_face:,1
have n't talked to you in days . that 's cool I guess . ,1
NYPD blog : HTTPURL Do n't you feel safe and protected ?  #ICantBreathe,1
"@USER @USER A thief , a liar , a vote rigger , mocks those who use food banks and an online bully ",0
"If I carried on the way half the men do on here , I 'd be getting called a crank ( amongst other things ) and be asked if I had #PMT ...  :nail_polish:",1
work Wednesday-Sunday .. #yay  #moneytho :weary_face: :loudly_crying_face: :money_bag: :unamused_face:,1
Picked an excellent day to get my hair done :unamused_face: ,1
Sometimes i just dont understand anything | #stubborn HTTPURL,0
"Yoga pants , a sweatshirt , and nikes , am I @USER yet ? :face_with_tears_of_joy:",0
@USER still out w / back sprain ?,0
"@USER @USER you do n't know a damned thing about baseball , do you ?",0
Having to be up in four hours sounds great ,1
Getting ready to ship surplus ink cartridges out to Nunavut communities - yup that 's a great use of time / resources ! #sofulfilled ,1
HTTPURL #TeenAnalCasting #Highway Highway 69 – Disturbed ( Dedicated to a girl raped on 16/12 / 12 ),0
I think the new sweater I bought is a maternity sweater . Oh well . Its super cozy,0
"My grandma tells me she made raviolis to eat .. You know I yelled back "" fuck you I do n't want no ravioli nigga ! ! ! """,0
"We rebooted the server , it seems ok now YEY ! #facepalm  #devops",1
@USER absolutely shocking that the lamestream media has n't picked up on this  #mediabias @USER @USER,0
@USER your #ambition is #amazing .  #saintsfc enjoy exit from #ChampionsLeague,1
@USER Three minutes is better than no minutes,0
@USER @USER hahaha u talk abt policies .. just check delhi dialogue page .. are u from another gola lol,0
@USER : I can't stand watching a #UKvsLOU game with a Louisville fan ! They 're as bad as Steelers fans . #BBN @USER ,1
Everything You 've Been Told About Copywriting is BS .  HTTPURL,1
Well on a positive note if I can stay awake for another hour I can go get my blood work done ! #positivenote fun stuff ,1
"I have an "" attitude "" because you think you 're hot shit at a buffet restuarant . #lifegoals  #sideworknazi",1
"@USER oh joy , now i get to have even more of them in my living room !  #putyourtoysaway #badboyfriend",1
"I can't stop laughing at this . The fact that they specialize in "" Viral Marketing "" is especially amusing .  ... HTTPURL",1
"@USER No , voting somebody in because they 're from Latvia is way more important than voting for the best players . ",1
"i would tell ya , but you just would n't understand ... :heart_with_arrow:",0
Interviewed a turkey & here 's what he had to say HTTPURL #Thanksgiving,0
#Putin #says #Russia #wo n't #be #intimidated #over #Crimea . HTTPURL via @USER,0
i 'm really stoked about going abroad in the fall . and well next week but that 's for completely different reasons . #imissmyboyfriend,0
@USER that 's the easy part . Giving my man money to go grab all mine tomorrow morning can't be dealing with town to stressfull,0
"Hi Orgabeh , so we meet again . I think you 're my soulmate . :smiling_face_with_heart-eyes: zzzzZzz :tired_face:  #patience",1
That 's always the solution ...  . Does n't fix anything !,1
Storm coming ! #todayimloving  HTTPURL,1
@USER tis the season for unwanted gifts !,0
Going to sleep a solid 30 minutes earlier than last night ! ! ! #success #justwhatiwanted ,1
Yay for knee machines !  HTTPURL,1
go subscribe @USER on youtube HTTPURL for good music,0
If you gon ' judge people who drink and blaze FOH Go choke on some foreskin,0
First day skiing #killedit  #iwasshit #tignes #seasonlife HTTPURL,1
@USER haha ! ! Noo I do n't need new boob 's my old ones are just fabulous :squinting_face_with_tongue: :squinting_face_with_tongue: :squinting_face_with_tongue:,0
"My whole life is just "" oh ok "" .",0
Love the fact that I turned off my alarm this morning and slept till so freaking late ,1
"Shopping day with Ms 15 today . Her haul included new Docs , eyeliner , bras , new issue Frankie mag , and half of Kikki K . Tired and broke now .",0
"Is there a "" like "" tab on me ? I 'm not a facebook status to be liked by people ...  #RudeButTrue",1
"@USER Careful , Cayce . That 's almost a racist statement .  @USER @USER @USER",1
@USER Asalamoalekum ... :grinning_face_with_big_eyes: kesay mizaj ? Thank you so much . It was posted on 2nd December 2013 . Already there . :smiling_face_with_halo:,0
@USER Warwick Davis is more than twice the man Tony Blair is ,1
@USER thanks for the wake up wrap and coffee this morning ! ! #CheapBastard ,1
@USER @USER A protest is not peaceful if its forcefully stopping me to earn my livelihood .,0
@USER if @USER exclude BF3 maps from the poll ... I am going to RIOT ! ! I really want Seine Crossing back :loudly_crying_face: :loudly_crying_face: | I would pay for it ! !,0
Choose your words carefully hurting someone feelings is not the right way to go .,0
@USER I was only clarifying for my LEGION of other followers .  ForTheIntellectuals #DrHandsomeDennis,1
This long drive home later in the snow is gonna be shweeeet ,1
#and #As #But #Cake #Like #MMs #Made #Make  #Food | Please RT : HTTPURL HTTPURL,0
@USER this is my new fave thing on facebook  #sexpest HTTPURL,1
@USER public hammering the Steelers all week . Juicy .,0
