tweet,label,index,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh,1.0,10,1,16,26.1,1,99,,8,12.5,93.75,81.25,68.75,25,25,25,0,0,0,0,0,18.75,12.5,6.25,18.75,25,6.25,0,0,25,6.25,0,0,0,0,0,25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,0,0,12.5,0,0,0,6.25,0,12.5,6.25,6.25,0,6.25,0,0,25,0,0,0,6.25,18.75,0,0
"HOT TAKE: Can we stop romanticizing the grind? 

Yes there is value in hard work and determination. However, it is NOT HEALTHY to work yourself until you can hardly function as a human being.

There’s a big difference here.",0.0,11,1,39,10.19,81.78,48.76,,9.75,17.95,89.74,74.36,58.97,10.26,7.69,0,2.56,5.13,0,0,2.56,7.69,7.69,0,10.26,15.38,12.82,10.26,2.56,17.95,10.26,2.56,12.82,2.56,10.26,0,28.21,2.56,15.38,0,0,5.13,2.56,0,7.69,0,0,0,0,0,0,0,0,0,0,0,10.26,0,0,0,0,0,0,10.26,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,2.56,2.56,0,2.56,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,15.38,12.82,0,0,10.26,0,0,2.56,5.13,0,12.82,0,2.56,0,2.56,0,0,17.95,7.69,2.56,2.56,0,2.56,2.56,0
"Thanks to India for being so inept. I was hoping for a full day of cricket, got snacks and everything. Cheers. You could have at least tried. #bbccricket #INDvENG #ENGvsIND #Cricket",1.0,12,1,31,60.93,59.25,1,99,6.2,19.35,83.87,70.97,51.61,9.68,6.45,3.23,0,3.23,0,0,3.23,6.45,3.23,0,16.13,12.9,3.23,6.45,0,25.81,6.45,9.68,3.23,0,3.23,0,19.35,3.23,6.45,0,0,6.45,3.23,0,0,0,9.68,9.68,0,6.45,6.45,0,0,0,0,0,6.45,3.23,3.23,3.23,0,0,3.23,3.23,0,0,0,0,0,0,0,0,6.45,6.45,0,0,0,0,3.23,0,0,0,0,0,0,3.23,0,0,3.23,3.23,0,3.23,0,0,0,0,6.45,3.23,0,0,3.23,0,0,0,3.23,6.45,0,3.23,0,0,0,0,0,29.03,12.9,3.23,0,0,0,12.9,0
"it’s amazing how many people get mad at you for simply Raising Questions, such as “what if the vaccine makes your balls inflate like helium balloons and cause you to float away to never be seen again”",1.0,13,1,37,42.89,96.25,55.76,20.23,37,16.22,86.49,70.27,59.46,13.51,8.11,0,0,8.11,0,0,5.41,10.81,2.7,0,18.92,5.41,10.81,8.11,2.7,13.51,5.41,2.7,0,0,0,0,24.32,2.7,16.22,5.41,8.11,0,5.41,2.7,2.7,0,5.41,2.7,2.7,5.41,2.7,2.7,0,2.7,0,0,10.81,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,2.7,2.7,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,8.11,8.11,0,2.7,2.7,2.7,0,0,5.41,2.7,5.41,0,0,0,0,0,0,10.81,0,2.7,0,0,2.7,5.41,0
Just almost got hit on the highway by a @CityofSanDiego truck 🤪 tysm for making me feel safe guys!!!,1.0,14,1,18,98.16,40.06,10.18,20.23,18,11.11,83.33,66.67,44.44,5.56,5.56,5.56,0,0,0,0,0,11.11,11.11,0,16.67,0,11.11,0,0,16.67,5.56,0,0,0,0,0,16.67,0,16.67,5.56,5.56,0,5.56,0,0,0,11.11,5.56,5.56,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,5.56,0,0,0,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,5.56,0,11.11,5.56,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,22.22,0,0,0,16.67,0,5.56,5.56
"Even though my mom has to work a 12 hr shift today, I'm thankful she's happy with what she does and that she is doing what she needs to do in order to care for her children. She is the strongest and most important woman in my life. Without her, I am nothing.",0.0,15,1,53,5.44,72.6,1,99,17.67,11.32,96.23,79.25,67.92,26.42,20.75,7.55,0,0,13.21,0,5.66,15.09,3.77,1.89,15.09,16.98,5.66,5.66,1.89,20.75,9.43,1.89,7.55,1.89,1.89,3.77,20.75,1.89,5.66,0,0,1.89,0,0,3.77,0,7.55,7.55,0,3.77,3.77,0,0,0,0,0,22.64,1.89,1.89,0,0,0,0,18.87,1.89,0,16.98,0,0,0,0,0,1.89,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,5.66,3.77,0,0,3.77,0,0,0,1.89,0,15.09,3.77,0,0,0,0,0,13.21,5.66,3.77,0,0,3.77,0,0
"not to brag, but my thesis topic was so good that someone else published on it three months ago 🙃",1.0,16,1,19,1,1,99,92.27,19,10.53,89.47,73.68,68.42,21.05,5.26,5.26,0,0,0,0,15.79,15.79,0,5.26,10.53,5.26,15.79,10.53,5.26,5.26,5.26,10.53,0,0,0,0,36.84,0,21.05,0,0,0,5.26,0,15.79,0,5.26,5.26,0,5.26,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,10.53,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,10.53,10.53,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,5.26
"🤙🏼 https://t.co/bbhd4Bwonn",0.0,17,1,1,,,,,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
"Congratulations to Trump on his second impeachment. It’s a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2",1.0,18,1,24,89.52,64.67,1,99,4,37.5,91.67,45.83,33.33,8.33,4.17,0,0,0,4.17,0,4.17,12.5,4.17,8.33,12.5,4.17,0,4.17,0,8.33,8.33,4.17,25,4.17,25,0,8.33,0,0,0,0,0,0,0,0,0,8.33,8.33,0,4.17,4.17,0,0,0,0,0,16.67,12.5,4.17,4.17,8.33,0,0,4.17,0,0,0,4.17,8.33,8.33,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,4.17,8.33,4.17,0,0,0,0,0,0,37.5,20.83,4.17,0,0,4.17,8.33,0
Was fun. Looking forward to the next one! #podcasts https://t.co/t2PmbDlZKo,0.0,19,1,10,97.77,,63.35,99,3.33,30,100,70,40,0,0,0,0,0,0,0,0,20,10,20,10,10,0,0,0,20,20,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,10,10,0,0,10,10,0,0,0,0,0,0,0,30,10,0,0,10,0,10,0
i hope u sleep maybe forever maybe not  lol,1.0,20,1,9,1,2.75,77.17,99,9,11.11,100,77.78,55.56,22.22,22.22,11.11,0,11.11,0,0,0,0,0,0,0,0,22.22,0,11.11,11.11,0,0,0,0,0,0,55.56,11.11,44.44,0,0,11.11,33.33,0,11.11,0,11.11,11.11,0,11.11,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,22.22,22.22,0,0,0,0,0,0,0,0,0,0,0
Beer and the ufc are good,0.0,21,1,6,49.68,,,99,6,0,83.33,50,50,0,0,0,0,0,0,0,0,16.67,16.67,0,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How nice of tonsillitis to join me on my holiday 🖕🏻🖕🏻🖕🏻🖕🏻,1.0,22,1,10,89.52,1,98.38,99,10,20,90,80,60,20,20,20,0,0,0,0,0,10,0,0,30,0,10,0,0,10,10,0,10,10,0,0,10,0,10,10,10,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"me: :(
me after eating one blueberry: :)",0.0,23,1,8,26.1,1,99,20.23,8,12.5,100,87.5,50,25,25,25,0,0,0,0,0,12.5,0,12.5,12.5,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,25,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,25,25,0,0,0,75,0,0,0,0,0,75,0
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,1.0,24,1,6,89.52,,,1,3,16.67,83.33,50,33.33,16.67,0,0,0,0,0,0,16.67,16.67,16.67,33.33,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,16.67,0,33.33,0
"@dumbdotcomm u did such a good job the last time!! I can always reteach u 😌",0.0,25,1,15,22.17,99,63.35,97.84,7.5,13.33,86.67,60,60,20,20,6.67,0,13.33,0,0,0,20,13.33,0,0,13.33,6.67,0,0,13.33,0,0,0,0,0,0,33.33,6.67,6.67,0,0,6.67,0,0,0,0,6.67,6.67,0,6.67,6.67,0,0,0,0,0,13.33,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,20,6.67,6.67,0,13.33,13.33,0,0,0,20,0,0,0,13.33,0,6.67,6.67
Got my lowball business class upgrade bid accepted for my train from DC to NYC this morning and ended up without anyone sitting next to me for the whole trip. A positive sign for the weekend.,0.0,26,1,36,98.16,6.61,98.75,64,18,25,77.78,61.11,47.22,13.89,8.33,8.33,0,0,0,0,5.56,16.67,8.33,0,22.22,0,2.78,2.78,0,8.33,5.56,2.78,0,0,0,0,13.89,0,5.56,0,0,0,2.78,0,2.78,0,2.78,2.78,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,8.33,2.78,0,5.56,2.78,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,8.33,2.78,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0
we love when the power goes out at 6:30 in the morning on a wednesday https://t.co/BBIQ7ZYS3x,1.0,27,1,17,99,93.56,99,95.42,17,11.76,100,58.82,52.94,5.88,5.88,0,5.88,0,0,0,0,17.65,17.65,17.65,23.53,0,5.88,5.88,0,5.88,0,0,11.76,5.88,0,5.88,17.65,0,0,0,0,0,0,0,0,0,5.88,5.88,0,5.88,5.88,0,0,0,0,0,11.76,5.88,0,0,0,0,0,5.88,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,17.65,0,5.88,11.76,0,0,0,17.65,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,5.88,0
The sign of spinelessness: complaining to someone having a call on a bus as they're getting off. Was the person on the phone a woman alone? Of course she was. Was the person complaining an older man? Of course he was. Did I yell at him? Of course I did. Speak out for justice. ✊,0.0,28,1,54,95.3,95.53,1,1,6,11.11,96.3,72.22,64.81,12.96,11.11,3.7,0,0,5.56,1.85,1.85,14.81,14.81,0,22.22,14.81,1.85,1.85,0,20.37,3.7,0,1.85,0,0,1.85,27.78,0,12.96,0,0,0,1.85,11.11,0,0,7.41,1.85,5.56,3.7,0,3.7,0,0,0,0,33.33,14.81,0,0,3.7,3.7,11.11,16.67,0,0,3.7,5.56,3.7,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,3.7,3.7,0,0,1.85,0,1.85,0,1.85,11.11,1.85,0,0,0,0,0,0,18.52,9.26,0,5.56,0,1.85,1.85,1.85
I'm gonna say it: Joanne beat the fuck out of Michael's Halloween online store.,0.0,29,1,14,89.52,1,24.32,,14,14.29,71.43,64.29,42.86,14.29,7.14,7.14,0,0,0,0,7.14,7.14,7.14,0,21.43,14.29,0,0,0,28.57,7.14,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,7.14,7.14,7.14,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,7.14,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,7.14,0,0,0,0,0,7.14,7.14,7.14,7.14,0,0,0,28.57,7.14,0,0,0,14.29,7.14,0
"but clinton's emails!
oh.
emm.
fucking.
gee.

clinton's god damnèd emails.

the humanity of it all.

🤮 https://t.co/cibY5Tn9s6",1.0,30,1,17,89.52,12.77,1.39,,2.13,23.53,70.59,41.18,29.41,5.88,0,0,0,0,0,0,5.88,11.76,5.88,5.88,5.88,0,0,5.88,0,0,5.88,5.88,0,0,0,0,11.76,5.88,5.88,0,0,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,5.88,17.65,11.76,0,0,0,0,11.76,5.88,0,0,0,0,17.65,0,0,17.65,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,0,52.94,35.29,0,0,5.88,11.76,0,5.88
Omg thank u for pointing out that I apologize too much 🙏,1.0,31,1,11,20.83,40.06,50.45,1,11,18.18,100,72.73,63.64,36.36,27.27,18.18,0,9.09,0,0,9.09,9.09,0,0,18.18,0,9.09,0,0,9.09,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,27.27,9.09,18.18,0,0,0,0,0,0,0,45.45,36.36,18.18,18.18,0,0,27.27,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0,9.09
Just disposed of a dead opossum. Good morning!,1.0,32,1,8,98.55,,89.39,99,4,37.5,75,50,37.5,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,12.5,0,0,12.5,0,0,0
Want to guarantee that you'll never lose your job? Just become the Prime Minister and party in a national lockdown.,1.0,33,1,20,39.7,97.73,1,20.23,10,20,95,70,50,15,10,0,0,10,0,0,5,20,10,0,10,5,10,5,5,20,5,0,10,5,5,0,30,5,15,0,0,5,0,5,0,0,10,5,5,0,0,0,0,0,0,0,15,5,0,0,0,0,0,10,0,0,0,0,10,10,0,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,15,5,0,5,0,5,0,0
"@roopabanerjee I had the same problem, but as others have said use the left/right arrows on your remote, not the &gt;&gt; key, then it jumps 10 seconds at a time or longer if you press and hold.",0.0,34,1,39,45.8,3.65,99,,39,7.69,87.18,71.79,51.28,12.82,7.69,2.56,0,5.13,0,0,5.13,12.82,10.26,2.56,7.69,5.13,0,15.38,2.56,15.38,10.26,2.56,0,0,0,0,33.33,0,23.08,2.56,2.56,0,5.13,0,15.38,0,0,0,0,0,0,0,0,0,0,0,7.69,2.56,0,0,0,0,2.56,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26,10.26,0,2.56,7.69,0,0,0,7.69,5.13,2.56,0,0,0,0,0,0,25.64,2.56,7.69,0,0,0,15.38,0
"Max Verstappen is such a clean driver, he never makes dirty moves when racing.",1.0,35,1,14,7.34,40.06,72.58,20.23,14,7.14,78.57,71.43,42.86,7.14,7.14,0,0,0,7.14,0,0,14.29,7.14,0,0,7.14,14.29,7.14,7.14,21.43,14.29,0,0,0,0,0,28.57,7.14,7.14,0,7.14,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,14.29,0,14.29,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,0
A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower 🎶🎶🎶,1.0,36,1,30,99,77.41,19.26,99,30,13.33,90,60,40,3.33,3.33,0,0,0,3.33,0,0,20,16.67,0,16.67,3.33,0,0,0,10,10,6.67,0,0,0,0,13.33,6.67,0,0,0,0,0,0,0,0,10,10,0,3.33,3.33,0,0,0,0,0,13.33,3.33,0,0,0,0,3.33,6.67,0,0,0,6.67,3.33,0,0,3.33,26.67,20,6.67,0,0,0,3.33,3.33,0,3.33,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,6.67,20,0,0,13.33,0,6.67,0,3.33,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,10
