index,label,tweet
179,0,@EddieHearn @EddieHearn Khan is doing to Brook what Mayweather is doing to Khan. Making poor excuses to avoid the big fight #Irony
160,0,Can I ask why we didn't hv GEJ n PDP trending yesterday night #sarcasm http://t.co/0oVx1ttwON
1098,1,Lol my timehop guy though. #irony http://t.co/OdljZGV4VM
88,0,Bush Govt to be prosecuted under Geneva Convention for torture after CIA methods & VP admission exposed. http://t.co/SV4j6clfUB #NOT
2011,1,Being awake since 3AM is always so much fun #sarcasm
300,1,@AstroDWJust I was only clarifying for my LEGION of other followers. #sarcasm #NotForTheIntellectuals #DrHandsomeDennis
1485,1,girls put so much effort in dressing nice for school..I'm over here in my oversized sweats and vans #maybetomorrow #not
198,0,"If I carried on the way half the men do on here, I'd be getting called a crank (amongst other things) and be asked if I had #PMT... #Irony💅"
82,0,Coin ! WatcherOnAWall: Anyone else find it sad that we have to remind Conservative Republicans that Torture is wrong? #TortureReport #Not...
1922,1,I think Apple should make their iCloud service and options a little more confusing. Its really getting good now. #sarcasm
164,0,I wonder what Professor Iaukea has to say about the new Disney Princess...? 😒 #not
573,1,"Watching the move 'Begin Again' and the verisimilitude is overpowering, it's like I'm back in the 90s music business again.  #irony"
80,0,Can anyone tell iv been uploading items onto depop today lol #sarcasm #lotsofdepopuploaded
2099,1,"@artistandsocial @gspyrou WHAT $2 for an app, OUTRAGIOUS ;) #sarcasm"
195,0,@rrhhmmss @TimEchols1 @Penneeee I agree. You can see that from the videos and photos that were taken two hours after the shooting. #Not
1293,1,"Hehehehe ""@Trevoredgar86: @nealcol @LFC what a shame #sarcasm"""
1494,1,Today I'll lecture on CRM investments & shareholder value ... So excited .... #Not 😏 I'm sleepy 😴
2436,1,Dont we all just love those people who message you out of nowhere and act like you guys are close cus they want something from you? #sarcasm
23,0,I got tampons! #not http://t.co/lnWQtxriUZ
1319,1,Love the fact I'm sick on my birthday #not
461,1,I'm absolutely positive that Coaches love it when parents tell them how to coach and run their program. #sarcasm #NOT #sticktoparenting
2870,1,I love waking up late and sick during dead week. #thebest #not
2448,1,Me: So yall forced me to call in to keep my price the same? BH: *silence* Me: *where is google fiber* #ilovebrighthouse #sarcasm
431,1,Loving how dominant the SEC is #Pause ..... #Not
39,0,Go go Power Rangers! #f2xmasparty #sarcasm http://t.co/A8xOlFt1ub
1823,1,"Oh look, we're having another storm in Sydney.  How unusual. #not"
1775,1,Am I surprised that my coworker is not going to show up today? #NOT #Flurries
2090,1,"And it's freezing, yay! #not http://t.co/McQJBgNY1E"
2031,1,I love being on hold. Especially when the music is so great. #sarcasm
92,0,We hold these kids back..... #irony #RUT340
222,0,@ardhow @Jmroberts343Jmr @Squarehighways |Thats a twist|Algorithms to cause more congestion & increase pollution|Too bizarre to be true #not
229,0,"@Salon dualistic, as in good and evil? Right, because that doesn't apply to the real world.... #sarcasm #OrcsLive"
142,0,You're gone and I gotta stay high... #coldpants #offtomysteriousplaces #not #bye http://t.co/aOla0qD4pb
15,0,Say no more.... #bigclub #not http://t.co/ALcQQsASsY
2270,1,TNT replaying the Cavs-Knicks game...maybe the knicks will win this time #sarcasm
2400,1,Can't fck with you hoe an I'm sorry 👐 #Not😂
1779,1,I'm so glad I'm sick today. |#not #bullcrap
144,0,Fun at @JRfm #Basics4Babies Day @langleyevents on Sunday: Ask Travis Lulay to get his face painted like Tony The Tiger #irony #worthashot
126,0,I don't wanna hate religious people. Cos i am one of them. I'm so religious in music. #ahaa #sarcasm
130,0,@numbdave Because we all know that a house is a hermetically sealed environment! #sarcasm @askegg @SecuLawyer @star2000dancer
201,0,@SexualGif: when ur boyfriend interrupts your selfie http://t.co/kVZ8VCZ7Nu yeah happens all the time #not
2171,1,thanks for appreciating me looking out of you and caring !! #sarcasm
2064,1,Hangovers and work... #Sarcasm RT @TheChrisStuckey What is your favorite thing about Monday?
204,0,Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?
53,0,... @NICKIMINAJ slaying in Igloo Australia's home country lol #Irony RT > @MalikZMinaj: Nicki is SLAYING New Zealand! http://t.co/5oIm9uZNQr
56,0,"Lifes like a bird, its pretty cute until it craps on your head. #Gharwapsi #72HoursOfCrazy #PowerOfFive #lol #sarcasm #AntiConversionLaw"
73,0,Human brains disappear every day. Some of them have never even appeared.. ||http://t.co/Fb0Aq5Frqs||#brain #humanbrain #sarcasm
555,1,haven't talked to you in days. that's cool I guess. #not
70,0,The moral police & vigilante's are very quiet with every #rape. I suppose it is Indian culture then? #sarcasm #uber #DelhiRape
170,0,"@heidimoore @DonnaAlward @jennabb I'm trying to decide if that cover says ""lonely widower' or not. #not"
248,0,@TSTG11 @Shweta_97 @AparnaRam_ same here. Tryin to link d convos bt another tweet cums up. #Sarcasm is the only wrd repeated.😂😂😂😂😂
119,0,"#irony ""@LabourEoin Few politicians get importance of Patient Dignity &  right to die http://t.co/adKIDKNpID"""
132,0,"@HadleyFreeman it could have happened to anyone. Your time will come, critics. Oops, apologies. A typical #irony -loving #Brit."
157,0,@kwelch31 Really? #Sarcasm
54,1,"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came. #sarcasm"
69,0,An answer to the one who criticize #feminism http://t.co/sYtcFcGcRq #Uglygirlsclub #sarcasm #fourthwave
1156,1,I should of just made a canvas of coffee stains and be done with it. #art #not
211,0,@GlobalGrind Niagra Falls tho... Really? #irony #LOL
136,0,@thunderroadvint try having no internet for a month. Now I know how Ethiopians feel. #sarcasm
203,0,@CorporalFrisk Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm
3084,1,"Thanks for the dick pic, really, thanks. #Sarcasm"
1051,1,"So, Matt and Natasha are having sex. #WhatASuprise #sarcasm #WhatElseIsNew"
140,0,Pre work shenanigans lmbo alissamarie_b #letswork #not #kiddingnotkidding #funtimes #sheseriouslyrocks http://t.co/wht23Idawu
113,0,@Sahelanth @QuerierNew @hudds1 because as long as she's a victim she'll have white knights trying to save that damsel in distress. #irony
263,0,@JoshuaSinghAIW that bump off the apron looked like it hurt.. was that padding u landed on? #sarcasm
127,0,"There's millions of autobot & troll accounts on Twitter that post dumb sh*t for RT's, then people call them stupid & naive.||#Irony"
1552,1,@RyanSeacrest you could probably just call or text her that information. #allcelebritiesarefriends  #sarcasm
93,0,@OpineJ There's no personal responsibility anymore. You can't expect anyone to think. #sarcasm
120,0,@torrentfreak We should monitor them... #sarcasm
94,0,Will put corporate racism and sexism back where it belongs: Face-to-face #sarcasm @RachelFeintzeig: Execs think twice http://t.co/6V5d24NgS5
114,0,Coin ! LeCoinCanard: Coin ! LeCoinCanard: Coin ! LeCoinCanard: Coin ! deanbcfc: WasAlRahman this is a question I ask myself everyday #Not...
140,1,"Appreciate @Raheelk that he has spared suspending our accounts, only blocked us. #sarcasm"
2018,1,So despite the fact that I was up till 4 studying and had to wake up at 7 I think this day is going to be great 😒 #sarcasm
87,0,Husband coming home early? #mongkok #kowloon #hongkong #dongiotravels #irony #50thfloor ... http://t.co/vvAWP30vua http://t.co/qdEScaifSk
2070,1,"@DianeKingShow looking great today Diane, it's not fair you're not on more. #not enough Diane"
1884,1,Hit Them Angles And Duck Face To Hide Those Wrinkles ; ) #ThatsABossBitchRightThere . . . #NOT!!
57,0,"@karanjohar yep, that's what they say.|#irony"
259,0,Trying to eat crackers on the quiet floor likeee.. Maybe if I chew slower no one will notice..#not
1039,1,final labs coursework submitted!! now to treat myself by catching up with the whole semester's lectures #winning #not
2536,1,Nothing says nature like the relentless sound of AM commuter traffic #fthunter #AMdogfun #not@allpeaceful
262,0,Coin ! LeCoinCanard: Coin ! LeCoinCanard: Coin ! have a wank over this hashtag: Fazzanelli: JeffRoylat have a wank over this hashtag #Not...
32,0,Why YES! Of course I use #sarcasm a lot in my day....because violence is illegal.
2525,1,Thanks Mother nature.. You didn't give us as snow day and now my twitter is filled with people complaining #irony
216,0,#obama @DemocratWire announce special urgent package for #Pakistan .. supported by @GOP to enhance their fight against obscurantists. #NOT
161,0,@ttwentyman He's just trying to drive Suh's price up. #sarcasm
84,0,@BIGJOEONTHEGO #ThingsBetterThanTitansJags napalm hotwings #bigjoefavorite #sarcasm love the show #keep it real
2482,1,"@slavetothemic thanks for sharing Mike, your opinion means a lot to us. #sarcasm #orisit?"
180,0,@rikkiblack69 @SirTomhunter @MarieMacklin @RoyalAwesome asked back to be models next month #not
2301,1,Roman mythology gets me soooo pumped #not
1230,1,"@Expherience  haha or are a chainsaw murder, or a corrupt fortune 500 ceo, or a rapist, w.e makes you happy. #not #hebetripping"
2973,1,This is a great time for me not to be feeling well... #not 😒
187,0,"@nostromonavis @RamziNasir @StanleyCohenLaw You are kidding, right? #irony #poortaste"
232,0,clashupdate #not http://t.co/1bFOsIwnI5
1934,1,"@icequeenerika yes, we officially try that. #sarcasm #Gamergate"
181,0,My vision looks like this =  just let me enjoy my first winter outside through a peep hole #sarcasm #growingwinter http://t.co/BiMXhC7WhB
100,0,*gasp* The girls are at a rehearsal studio today? You don't say... Hmmm wonder what on earth for? 🐸☕️ #sarcasm #MTVStars Little Mix
1481,1,"@YodelOnline Hi! I have just received a photo of my dear parcel from China, amazing he is travelling around the world!! #irony"
1290,1,@jordyn_eaton wants me to get hit by a bus so she can get a 4.0 #bestroomieaward #not
112,0,@myrakhan you won't get a source other than ISPR :| #Irony
42,0,@KimBhasin @HuffingtonPost So is he banded from wearing the clothes? #irony #Karma
89,0,The BOLD BAKERY by Sarah-Brockett #bakery #sarcasm http://t.co/zl5zxAD62Z
30,0,"That's me, the infamous pepper shaker replacer. #sarcasm"
139,0,"@sirmlivesey :-) Go for it. 20th Century Fox copied me and did 21st Century Fox, after all ... #irony, I hasten to add *very* unlitigiously!"
2864,1,I'm getting excited about Mexico now. #sarcasm
184,0,On a small diet #not http://t.co/UsLZOgYmEx
423,1,Being used is such a great feeling...#not
4,0,Such #irony.   You still have to #praisehim ;)
131,0,"Irony died 1000 times during the climax of Sholay, when the police urged Thakur not to take the law into his HANDS. #Irony #Bollywood"
254,0,@ParasiteCoD maybe you should grind the gym man #not #calling #you #fat
259,1,It's gonna be a great day 😃 #not
1868,1,so it's claimed that 99% of all russian athletes take performance enhancing drugs. there is a surprise #not
2144,1,No one up? Okay cool #not
1017,1,"The UofL student ticket policy is such a well thought out plan, good job SGA. #sarcasm #ihateyou"
36,0,"Heh, and fat, too. #ShotsFired #Irony"
3045,1,Flooded basements are always a fun thing to deal with #Sarcasm
2628,1,Being able to think your self angry is such a nice gift to have... #Not #ItsACurse
2660,1,@haleymae21 Ha! I don't have haters. Just a few misguided souls who thought my mentions were a bulletin board for their issues. ;) #Not
1806,1,I love waking up out of a dead sleep to two firetrucks blaring past my window #not 😴🚒🚑
122,0,"@hirefrank @MTA OMG want one, but I have EasyPay Express. This would mean I would only use it to ride PATH. #irony"
260,0,@GMA make sure you don't say Christmas!! The decorate for the holiday. #sarcasm #itisachristmastree
255,0,@KaylaBattaglia thanks I thought it was tomorrow #not #iknow #notthepoint
60,0,"@georgeely22 Because your ""sarcastic""? #Sarcastic #Sarcasm"
2704,1,Dissecting a rat first period is a great start to the day #not 🐁
148,0,#NBA players #NY support protests of #police killings/sure #money donations for #college WB coming #sarcasm  http://t.co/WothDOXXeM
2939,1,"@outsilver87 @LasVegasCapper Ya, because if history has told us anything, it's that betting on sports is a GREAT way to make money! #sarcasm"
54,0,@Espngreeny Aren't humans the ones who are playing the sport? #irony
408,1,@PeteKopite the lineup is full of goals and offensive intention #LFC #sarcasm
76,0,"#Corpsman wisdom: I had a head cold, so I took my own advice - Motrin, hydrated and changed my socks. Cold eliminated #sarcasm #navy"
83,0,Funny your the broken one now Im the only one who needed saving.|#irony
154,0,Who would've imagined that #jakeplummer smokes weed regularly?? #sarcasm #outsidethelines
206,0,"If you wanna look like a badass, have drama on social media #not"
1123,1,Thanks bus. Thanks for telling me where I am. So helpful. #not #sarcasm
2640,1,Aaaaaand now I've found out that Chrome slows down downloads when the screen saver activates. Just makes me love it more #sarcasm
51,0,"@NBCSportsRoc: Arizona Coyotes forge deal with BMW http://t.co/s7ZhDHk5li But, relocation!!! #Sarcasm"
416,1,@mrjohner @cebsilver We can vote Republican! Their Civil rights record and their ability to empathize is amazing. #sarcasm.
205,0,@LukeLPearson hmm... let me think about that #sarcasm
45,0,The city that only sleeps on mass transit. #naptime #irony #isntitironic #donchathink #imnotsure... http://t.co/yKcxmW5dVX
109,0,"If loose lips sink ships, then loose tweets sink fleets. #irony? (@ NASNI Theatre in Coronado, CA) https://t.co/dvFfrwO74Q"
153,0,Sorry this doesn't make any sense why make it even more tough? That's going to produce more players.. #sarcasm http://t.co/rjRLAQHwyd
11,0,"Contemplating responding to @charliejnwalker's tweet saying ""what remains of their pride"" but not sure how well that will go down #sarcasm"
794,1,My finger is so ducking attractive without my bandage tbh!!! #sarcasm
2989,1,"Well, weekend is over!|Now it's #TwitterTime again :D|Have a nice monday!|#irony"
194,0,@muayguyblog @EFCworldwide what???? No verbal submission? #sarcasm
189,0,"I checked twitter and snapchat but I can't tell what day it is, someone please help  😜|#sarcasm"
1794,1,"@RichardCarter Thanks, that'll help loads #not"
559,1,@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. #Not
2665,1,"Thanks @AirAsia, for nothing. All my family were flying with you from KL to attend my wedding. #everyonecanfly #not #AdelaideRouteCancelled"
2764,1,Love the fact that I turned off my alarm this morning and slept till so freaking late #not
2787,1,My current Christmas song obsession. Played it non-stop all weekend #Irony http://t.co/rLI4hTUXnv via @YouTube
111,0,Small amount of lads with birds nests' for hair cuts #sarcasm #ha #3allover
253,0,@charleswhite816 @DelbartonHockey I will let @bshatel know - I'm sure he is shaking/quaking in his boots. #not
884,1,Lol boy i just wanted a fuck not a relationship #not trying to sound like a hoe.
125,0,@Shadoya_osman and he can't find himself a pair that would fit #irony 🙈🙊🙊😂
208,0,Decide that you want it more than you are afraid of it. -Bill Cosby|#irony
158,0,@the_mullinator @JumaaneWilliams I'm sure it's largely ignored in practice. In NY you can't do any govt work if you have convicts #irony
37,0,They bombarded out country #irony #immigration @BBCr4today
98,0,"@GIBiz @MonsieurHutt Porn!? Where where?? Move that naked woman, I can't see where the porn is!|#sarcasm #games"
218,0,Watching Alison Jackson's portfolio of work #eurobest2014 seems she's cracked it. Celebrity + stunt = #viral #sarcasm
145,0,@peteswildlife Great. Does that mean he's also giving up hunting and killing wildlife in Europe? #irony
166,0,How in the world will I start my day once Kaitlyn gets tired of #Frozen?  #sarcasm #Idontwanttobuildasnowman #mommyproblems #mommylife
52,0,She did two marijuanas and look what happened. Don't #LegalizeIt. #Merica (#Sarcasm) http://t.co/oHxBNeKEqT
2768,1,WAIT the GA I have a crush on and emailed me and told me it was great to have me in class 😍❤😘 he totally loves me #not
2527,1,@DylanBraddy @chels_2325 real tough to whoop dungeys ass #not
1047,1,.@nypost .@Cameron_Gray Oh that makes it all better!!! #not
1877,1,@JenWilliamsMEN @PolicyGMCVO he captures the spirit of devolution so well #not
33,0,Wheres the rodgers in brigade #sarcasm
219,0,@TheStarPhoenix #spnews #yxe I hope you weren't driving when you took that picture. #irony
1574,1,36 hours no food no drink going strong #not #givemeabrew 🙏😭☕
116,0,Jesus. I am watching too much #TheNewsroom... Look at me getting all #SonyHack sermonising... #irony
3090,1,Christmas shopping on 2hrs sleep is going to be fun!!!!! #Not
29,0,"@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle, 12 mixers... Uh-oh I smell so much #IRONY it's lovely!"
79,1,@joshtiffers this is my new fave thing on facebook #irony #sexpest http://t.co/OpIVUx5Qxh
212,0,"If we win against Poland and Scotland, does that put us 65th in the world rankings. @YouBoysInGreen @FAIreland #Sarcasm"
867,1,So excited for the Christmas party with the snobby side of my fammm #not
2457,1,Like u go to Williamsville east ur parents hand u money but ur so much better than everyone else hahaha #not
305,1,"@Cyclocosm Hey, he DOES have the word ""ban"" on his home page like two or three times though. #AcknowledgementIsFirstStep #Sarcasm"
1042,1,Yet another out of a million doctor visits tomorrow...so.stoked. #not
163,0,@darrenrovell Is Jameis Winston getting paid for this photo or is #5 coincidence? #sarcasm
81,0,Girls who dip>>> #sarcasm
151,0,I always can't wait to see how #sarcasm works. #IfYouKnowWhatIMean
3023,1,Love it when you can see people have read you facebook private message but they just don't reply #sarcasm
79,0,@NovusOrdoWatch He was caught attending...*gasp* a Latin Mass. #sarcasm
102,0,"@JoeUnseen @NBAtheist |""Colored?"" |Don't they prefer ""negro"" now?|#sarcasm"
2177,1,My future? I still enjoy it (playing football) too much and I play with passion -Totti......oh no the team is doomed..... #asroma #sarcasm
169,0,#MuslimApologies – 10 Tweets that Explain What Muslims Should be Sorry for! http://t.co/wvPzLblVGL #Sarcasm
238,0,it's International Human Rights Day #irony
73,1,"@LouisFarrakhan How do you propose to determine ""sides""? I have both black and white family members. #racewar #irony #LoveNotWar"
110,0,. which is why i've visited #pakistan as many times as i have .. sez @BarackObama #NOT
49,0,IT'S DEFINITELY NOT FRIDAY. THE REASON IS: It's Tuesday~! Yesterday it was Monday so why should it be Friday. #Irony
2016,1,"Love the way @virginmedia says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault #irony"
66,0,"Jesus, Mary and Joseph. How sad to go through life suffering from #irony deficiency"
1405,1,.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready! #sarcasm
237,0,"Blue skies, warm air, and the royal accommodation! #WhatMoreDoesOneNeed #Education? #Not... http://t.co/mEtHUIaAtR http://t.co/CsW0rfhGZZ"
366,1,@Pallekenl 1/5th. Just like in the real world! #sarcasm
563,1,@sickill buuuut fast iteration and prototyping to production-ready code! #sarcasm
1124,1,I love working for an hour and not getting paid for it #not
6,0,@MaggieWinter21 your last retweet though #irony
1624,1,"Dear Manila, I'm with your traffic twin - Bangkok! yahooo #not @ Sirat Express way http://t.co/qdVpu9wZEc"
223,0,@GaryLineker trust me it will be out of form Scandinavian reef again to. @ChampionsLeague do love @MCFC I see😒🙈 #irony #FCBarcelona #mcfc
37,1,yet another rainy goshen concert night☔🎻 #surprised #NOT
128,0,Taking Over the mansion with the Mexicans #Not@MikeyGlander
1224,1,@GlasgowCC doing a great job...  #NOT What do I pay my extortionate council taxes for? #Disgrace #OngoingProblem http://t.co/FQZUUwKSoN
2215,1,"Someone took my lucky hat today, yay, isn't that fun... #sarcasm #IhopeIGetItBack"
45,1,"@greateranglia really well done. Another short formation, so I get to stand for the 3rd day in a row from Kel to LLS 7:18. Thanks #sarcasm"
64,0,Why is ISIS an acronym for words in English? #irony
108,0,"My grandma gulping her hot coco loudly and my mom goes: ""you gulping over there?"" My grandma: ""no I'm queefing"" #sarcasm #HAHA"
891,1,Well today has just started off great. #not
1007,1,Just snap chatting my sister a few times.. #shelovesitwhenIsendthatmany #not http://t.co/x1b1DppHFx
405,1,@dukeblueplanet @CoachKaman The number 2 play was awesome. #sarcasm
251,0,"Few #relations are by #chance, few are by #choice and few are by #Facebook!! #irony"
2654,1,14 units next semester plus work yes so excited for that!!! #sarcasm
193,0,@louiseinwords We all have our crosses to bear. LOL #sarcasm
191,0,"juugin everything, niggas got warrants to pay #irony"
31,0,just dropped my new single||it's me||i'm single #sarcasm
1323,1,I'm fricken peachy today!! #Not
168,0,#Fact: #StarTrek adult onesie meets clothing requirements 4 Walmart employee. Just put on yr vest & a smile. #irony http://t.co/2RhG2iJjNB
227,0,"Isn't this blaming the victim? #sarcasm RT @chronicle Every year, 600K college students are injured while drunk. http://t.co/guuGP49ZZD"
742,1,Up all night took 4 hour nap I'm ready for work #Not
247,0,Did you know iOS 8 features custom keyboards? #sarcasm http://t.co/JhuwHjleiu
159,0,@sunlorrie @ctv ??? #Liberal used in same sentence?? Unheard of!! Turn in your keyboard sir! #sarcasm
240,0,"Is there a ""like"" tab on me? I'm not a facebook status to be liked by people... #sarcasm #RudeButTrue"
234,0,@grimmers skiing in Regents Park much #not
185,0,@Irrational_Fan: I can't stand watching a #UKvsLOU game with a Louisville fan! They're as bad as Steelers fans. #BBN @DonnieDruin #Irony
123,0,"@JohnCena @VinceMcMahon @steveaustinBSR hope you have more ambition john, cause no one else seems too. #sarcasm"
239,0,It's snowing in Chicago #whitechristmas #not
1921,1,"@RealFrnkPhister Even though @PGA_JohnDaly's got more ex-wives than @PGATour majors, I'm happy for that washed-up mess... #Not!! #Blocked"
2542,1,I'm happy with the two hours of sleep I got last night #not 😩
819,1,So if three geeks can bring down the whole of Microsoft and Sony networks..my annual firewall subscription is worth every penny!||#not
2262,1,Oh how I love this #not http://t.co/UWqFZJdlkv
40,0,@raeraeduke #sarcasm your application is already filled up waiting for you to turn 21
1786,1,"But not a grocery store or pharmacy. Sensible. #sarcasm ""@GRPress: Offices or apartments? owners of Monroe Avenue factory ponder options"""
150,0,@davidvitty to watch re blues? Chelsea's of course #sarcasm
124,0,@blushinggs: don't let fuckboys get in the way of you being happy never have AND never will. Lmao #irony #DontBelieveMeJustWatch
175,1,"Sad I don't have a Christmas jumper, thanks @Missguided for your super fast delivery 👍 #NOT"
2627,1,Fav part abt Xmas day..getting merry Xmas tweets from ppl who NEVER talk to me #kys #idontcare #sarcasm
91,0,@MU_Foundation @ManUtd Nice to see @LukeShaw3 taking the time to visit a poorly fan (in hospital Phil Jones)  #Sarcasm #Alwaysinjured #MUFC
1965,1,buzzing for school on monday.. #not
117,0,When that bish defollows you #sarcasm #disney #belle #MoreFollowersPlease http://t.co/i549jbbPLK
137,0,"Being publicly called a ""heartless arsehole"" for going about my day as usual. #irony"
2308,1,JFK BAGGAGE IDIOTS ACCUSED OF STEALING SHIT RIGHT OUTA YOUR LUGGAGE!|SHOCKED?|UMMMM SO #NOT|THEY HIRE MORONS!|PUT THE ARMY IN THERE!
1755,1,@CCriadoPerez The person who wrote that is clearly a bit of a tit #irony
2569,1,Well the week is off to a great start. #sarcasm #fml
188,0,"Dear #USPS, if it has this address, it comes here. No matter the name. If there's a mistake, we'll fix it. #ThanksForTheAnnoyingNote #Not"
2244,1,There's nothing more intimidating than having to serve an chavvy lanky 19 year old with acne and bum fluff. #not #cringe
2630,1,"Secret Santa for one of my er...""hotter"" #not work colleagues.. http://t.co/Ellk2A0pfh"
47,0,"i need to start going to bed earlier...smh, goodnight everyone, or should i say goodmorning haha #morning #not... http://t.co/cGCD326NWF"
98,1,"Committed to you, your privacy and an open Web|Please turn on JavaScript to display this page correctly. ||Firefox homepage #irony"
2603,1,"Nothing like waking up to 50+ financial formulas! Yay, for corporate finance comprehensive finals! #NOT #finalsweek"
261,0,Watching VT and Cincy - qb for VT with (GODS) down left arm (GIFT) down right arm. - #irony #howmanygods #punctuationmatters
2035,1,Really looked forward to waking up this early for finals...... #Not
21,0,"@maxsnape1 who you calling bottle job I'll take teeth. Yeah I'm game mate, at training tonight too, I'll remember your hat #not"
55,0,"K should give us a famous bf, some fan need an entertainment apparently #irony"
3012,1,Morning cry session with my roomie. Today's going to be a great day. #Sarcasm
34,0,suddenly w-wada #not http://t.co/lwdLPpuDSj
44,0,"Um, really @RollingStone? #irony #nothanks #UVA http://t.co/8ARdG99p8L"
1582,1,Great way to start of the day #not
231,1,"@Ike58Reese I know, but in the big spot (the only time I've watched him) he choked! Haha! Must mean he sucks, right? #Sarcasm"
18,0,#Irony dead? Why is this stupidest of memes still perpetuated?
3018,1,@TheWarRoom_Tom I am sure this has made your day. LoL #irony
250,0,This team would finish fourth. #Irony #Arsenal #Afc
155,0,Stop being the fan. And be the person blowing minds. #irony
1800,1,@nypost I should sue my parents #not
200,0,@Slate can you please book one of these appointments for me and tell me what happens? #irony http://t.co/ZrilqmGIoP
2812,1,Planning a vacation instead of studying.... My priorities are in line. #NOT
25,0,"@firstpostin At the same length, we should not forget about the fundamental communal sanghi Hindu fanatic RSS in our backyard. #Sarcasm"
104,0,"@whittmj1128 @Johnubacon @SamWebb77 this is true, the Patriots, Packers, or Broncos could suddenly need a new coach #sarcasm #itshappening"
