dataset,tweet,label,roberta_on_irony_mix,roberta_on_polarity,roberta_on_sarcasm,roberta_on_sarcasm_mix,bertweet_on_irony_mix,bertweet_on_polarity,bertweet_on_sarcasm,bertweet_on_sarcasm_mix,bert_on_irony_mix,bert_on_polarity,bert_on_sarcasm,bert_on_sarcasm_mix,bert_alea,bert_epi,bert_total,roberta_alea,roberta_epi,roberta_total,bertweet_alea,bertweet_epi,bertweet_total
irony,Sunset over the Appalachian mountains . HTTPURL,0,0.008559443,0.0028051469,0.018380683,0.010762409,0.063575715,0.058044534,0.06947159,0.042852808,0.27588743,0.05560677,0.052360225,0.14068918,0.38854031567104697,0.008238631761590454,0.3967789474326374,0.05658393695855198,3.114844885067534e-05,0.056615085407402656,0.2227816625347347,9.779499266567323e-05,0.22287945752740038
irony,How are there women in this world who think we should be kind to pedophiles and rapists ? Howwwwwwww ? They 're not sorry !,0,0.06944677,0.0034827392,0.8650684,0.964233,0.577991,0.9271187,0.50060433,0.914971,0.8713031,0.94115746,0.9515008,0.9488419,0.25826820979349446,0.0010935420782136759,0.2593617518717081,0.6919518528266333,0.19457574758109086,0.8865276004077242,0.5830884271413658,0.03719976122747841,0.6202881883688441
irony,help ! i 'm being haunted by dead people ! ( my dissertations ),1,0.016129164,0.0037506572,0.21289554,0.41095853,0.114451505,0.060173776,0.059741456,0.08432546,0.07317788,0.056822255,0.053343967,0.41751066,0.42307957456973727,0.02387197238974824,0.4469515469594855,0.44121455158566947,0.02772182775563749,0.46893637934130694,0.2779701154674349,0.0005021689942257587,0.27847228446166067
irony,when the toilet seat is warmed up for you > > >,1,0.12676847,0.008290422,0.4566972,0.9221503,0.32206857,0.57704914,0.4205105,0.22623897,0.6463866,0.07574099,0.25817555,0.7361072,0.6830603309324088,0.07388616123016342,0.7569464921625723,0.6633134180619984,0.12552358585659862,0.788837003918597,0.6671413732909355,0.01682517284080182,0.6839665461317374
irony,Efy is great,1,0.25862154,0.004921441,0.06958264,0.041411344,0.9914587,0.99088895,0.1171829,0.07851719,0.9897878,0.99311346,0.11765319,0.09523432,0.6883478404433077,0.19587350041763046,0.8842213408609381,0.3108664539515532,0.009599120049222802,0.320465574000776,0.6891793030499975,0.19969376419648044,0.888873067246478
irony,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock , and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest , most enjoyable start to any workday .",1,0.90427214,0.004443572,0.83999294,0.75964385,0.9886485,0.97036874,0.48145378,0.9599534,0.9768297,0.9468594,0.31001443,0.08301491,0.6805554170583743,0.15298583142549366,0.833541248483868,0.6604872592988846,0.13185417450813747,0.792341433807022,0.42252499180235037,0.04540701538405047,0.4679320071864008
irony,"AMAZING game , @USER ! So happy to have you in Vegas ! :red_heart: :red_heart: :red_heart:",0,0.034758102,0.004332296,0.074294746,0.08655771,0.053433917,0.075128675,0.045684982,0.027255254,0.49877435,0.98118913,0.6226245,0.10509021,0.6877461690753209,0.09793810840893862,0.7856842774842595,0.19847317346973886,0.0010611386676265772,0.19953431213736544,0.1996200053439473,0.0002946550802909896,0.1999146604242383
irony,if i saw a capybara in person id probably throw up,1,0.14484352,0.0037303166,0.21613027,0.75848174,0.0424909,0.03453699,0.20923792,0.14335972,0.055675548,0.0729358,0.9341819,0.9244326,0.693126781051344,0.18710605226432014,0.8802328333156642,0.5937039705172538,0.08190344814274686,0.6756074186600006,0.3410581569693835,0.005296568184632417,0.34635472515401594
irony,"Networking , networking and networking - big message from today 's key note speakers #PRS2021",0,0.08521383,0.004096475,0.040502623,0.023415376,0.06889348,0.29302523,0.051471107,0.035090726,0.066139944,0.7544183,0.048195425,0.09319634,0.5516412087670578,0.0882982163484411,0.6399394251154988,0.16252610902671674,0.0008992979867792321,0.16342540701349598,0.3509251608962878,0.011051757886920529,0.3619769187832083
irony,Life is about eating chicken finger and getting drunk,1,0.041251373,0.0040059322,0.16224636,0.41472176,0.7305672,0.70750684,0.23328741,0.5312718,0.3959047,0.3069343,0.32027927,0.09861713,0.5933626034337571,0.012170192054114948,0.6055327954878721,0.4322272843016054,0.025811155719148274,0.45803844002075367,0.6880058321027396,0.039517198750245765,0.7275230308529853
irony,"knew one coworker recently had a baby , but did n't send us pictures so far . People are curious , so I tacked up a stock photo of an ugly baby .",0,0.013586763,0.0027005302,0.135826,0.08122149,0.020353109,0.020825231,0.054760918,0.058113936,0.08337638,0.06721148,0.49271035,0.15132506,0.4985333330632151,0.029818807815111925,0.528352140878327,0.22235779432477554,0.0029065613608129075,0.22526435568558845,0.1631902004249988,0.00032270758609591365,0.16351290801109472
irony,My living room feels really lively now . I 'm recklessly sipping tea absorbing choons #TaeSup,1,0.27663934,0.0048507126,0.07837303,0.049046494,0.5181586,0.61984694,0.103319995,0.72692686,0.93322194,0.83676493,0.08890395,0.08205234,0.6927111513891806,0.16097503715316258,0.8536861885423432,0.3299496737465952,0.01082474594865963,0.3407744196952548,0.6930211844654479,0.05582296808294354,0.7488441525483914
irony,I love a Monday morning so glad the weekends over !,1,0.98027486,0.008568059,0.98155737,0.98345584,0.9903562,0.9882081,0.96266437,0.9071585,0.9897573,0.9922935,0.977741,0.9538589,0.1041540220023221,0.00023117920828187566,0.10438520121060398,0.5746573659342635,0.17758399122668833,0.7522413571609519,0.161222195101678,0.00112473315466117,0.16234692825633917
irony,wearing a cute jumpsuit is all fun and games until you have to go to the bathroom,1,0.48929268,0.0036717486,0.2403983,0.1432347,0.34650964,0.30879116,0.12932183,0.041201863,0.9723891,0.98204124,0.8516977,0.74854124,0.3492925850071748,0.009182524120411402,0.35847510912758623,0.5258292190533167,0.03140564185232774,0.5572348609056444,0.5092232871588621,0.01583652925665453,0.5250598164155167
