,tweets,class
60759,@ieratrespeses thank you for watching Dementia on TV5 #Sarcastic,sarcasm
60760,"@Madame1010110 Yes, we will. The last time...you guys tried the black jersey trick and that worked ""oh so well"". #Sarcasm",sarcasm
60761,Did Strop just pitch around a double with the game on the line? I couldn't tell because I was paying attention to his hat. #sarcasm #Cubs,sarcasm
60762,@pmoharper I'm so glad millionaire families are getting a little extra at the expense of the working poor! #CPCJesus #sarcasm,sarcasm
60763,You keep them close to see what they're up to...😬🙊 #sarcastic #sassy https://t.co/PldTawvAIS,sarcasm
60764,"I'm so excited to spend the next two weeks packing up what used to be our life together. 
#sarcasm #justalittlebitter",sarcasm
60765,"Waiting for someone to blame tonight on Napoli.  #RedSox #RedSoxNation He clearly is the ""only"" problem on offense.  #sarcastic @RedSox",sarcasm
60766,Third metro of the day with no air. It's only 100 out In DC though nbd #Sarcasm,sarcasm
60767,Hold the phones people. Brent Morel is coming back up to the Pirates. Season saved. #Sarcasm,sarcasm
60768,@stir_18 keep the peace and love the planet bruh✌️ #sarcastic,sarcasm
60769,8 stupid @Amazon products with impressively #sarcastic reviews: http://t.co/bMlwnFCqls Just for the lols.,sarcasm
60770,"Sarcastic People Are Actually Smarter, Sexier And More Successful #Sarcastic #smart #sexy",sarcasm
60771,"First Release of Kejriwal childhood image...
Heart still same !!
#Sarcastic http://t.co/AEw8JbVhsV",sarcasm
60772,@Griffin_Lane I'd love to be aboard the 'Sea Bitch' any day #jk #sarcasm,sarcasm
60773,Let's all talk about our crushing loneliness!  Because it's a super fun experience. #sarcasm,sarcasm
60774,Jackie speaking the BB gospel she picked up from being wallpaper. You go girl. #sarcasm #BB17,sarcasm
60775,"Apparently ""The one before 8."" Isnt the ""proper"" response to ""Where's aisle 7?"". Some customers just dont appreciate my humor. #sarcasm",sarcasm
60776,I really love when people follow me 92726228 different times. #sarcastic #pleasestop,sarcasm
60777,You're kind of wasting my time &amp; energy. Thanks for that. #Sarcastic,sarcasm
60778,Yay! The drunk broads next to us who already poured wine down the face of the dude in front of us have gone off for more booze -_- #sarcasm,sarcasm
60779,"@channelstv this is the real ""change""! #Sarcastic",sarcasm
60780,8-4 on a sunday looking forward to this so much 😒 #sarcastic,sarcasm
60781,"I love white people singing ""La Bamba"" and pronouncing it ""Lah Bam-bah"" #sarcasm",sarcasm
60782,@Fedorka Class acts they are. #sarcastic,sarcasm
60783,"The best #friendships tend to #be with people you #can be openly #weird and or #sarcastic with, #without that person taking #offense.",sarcasm
60784,"Judging from the video of #Favre's Legends Game, I can see why #Packers couldn't allow all this heavy action tearing up their turf. #Sarcasm",sarcasm
60785,Mick Fanning you so lucky! Most people never get the chance to see a shark up close and personal! :) #Sarcasm #OhShit http://t.co/zrNUlMEY2O,sarcasm
60786,NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited ♥ http://t.co/EmZeWZYERP …  🌺,sarcasm
60787,The story of my life so far #friends #chandler #sarcastic #seriouslythough https://t.co/qZV3Tu3XdN,sarcasm
60788,Because ALL black women watch this shit. #sarcasm https://t.co/ofM7ezZ6zY,sarcasm
60789,"When I am upset or frustrated my #sarcastic remarks become 1,ooo,ooo,ooo x's more aggressive 😒",sarcasm
60790,"Can I just thank the many hundreds of beautiful 20-something girls on Twitter who work tirelessly to post links to clickbait sites.
#sarcasm",sarcasm
60791,@SCsupport still not working thank you for getting back to me though... #sarcastic,sarcasm
60792,"Can't wait for the hottest day of the summer tomorrow, no pool in sight #sarcastic",sarcasm
60793,Come on it is only about Southern heritage and pride...alrighty #kkk #sarcasm http://t.co/YVZkICeYZF,sarcasm
60794,@JessaNaomi that does sound like a great way to cool down #sarcasm,sarcasm
60795,gotta love that 87°F and raining weather... #sarcasm #wtfsandiego,sarcasm
60796,Love this account...#hilarious #sarcastic https://t.co/LlhSQA8aJv,sarcasm
60797,Omg I have the nicest sky engineer! #wrongjob #sarcastic,sarcasm
60798,"#Sarcastic People Are Actually #Smarter, #Sexier And More #Successful http://t.co/zOhpGmJIql",sarcasm
60799,@Braves wow we're so scary when we have the bats #sarcasm,sarcasm
60800,"The philosophy of life is all about ass:

#ass #life #humor #sarcasm http://t.co/pZRK2UifFJ",sarcasm
60801,Ohh it's cool you know. It's not like I wanted to skate today. #Sarcasm,sarcasm
60802,Love this HD web broadcast of an important Pan Am sports finale. #sarcasm,sarcasm
60803,I'm so glad other people respect my relationship and don't try to hook my boyfriend up with other girls #sarcasm,sarcasm
60804,"@WrestlingMANIAx Well, Owens is finished, he'll obviously never recover from this #sarcasm",sarcasm
60805,What iz thiz?!?!? A friggin DC love fest??!?!? @andysignore @MurrellDan #Sarcasm #MovieFights,sarcasm
60806,"Cool, Im to emotionally conpromised to even run. And almost got hit by a car to boot! #greatday #sarcasm #fucksundays",sarcasm
60807,@FeedWheat do I detect a bit of #sarcasm in your words...,sarcasm
60808,@dorkiesaurus I remember when I lived in Downtown Toronto... such an interesting place. #sarcasm,sarcasm
60809,@raaachf for the car ride when I get to listen to you and jess the whole time? Yeah woo can't wait either. #sarcasm,sarcasm
60810,I had 4 slices of pizza today!! 😊😊😊 #diet #healthyliving #veganlife #sarcasm,sarcasm
60811,@KingDonutI Come on..it's against the Mets....that's like a loss to a double A team at the best #Sarcasm,sarcasm
60812,@LOLGOP @mch7576 Oh but he'll get the Latino vote! #sarcasm,sarcasm
60813,When I hear a dumb statement and the #sarcasm juices are tingling. http://t.co/kPnCe50lMn,sarcasm
60814,I love when people post controversial articles from unreliable sources 😅😒👎🏼 #sarcasm,sarcasm
60815,"Oh so they DO have training. These two should go teach in other departments or something...

#Sarcasm #IThink  https://t.co/Sv3fjwrhlt",sarcasm
60816,I can really tell how bad you want to show me off.. #sarcasm #thisisajoke,sarcasm
60817,"""@9GAGGifs: What it looks like when you drink water - http://t.co/61ho729CqV"" so what does it look like when you drink beer ? #sarcasm",sarcasm
60818,“@heatstover: That Justin Trudeau bashing ad.. so lame. #sarcasm #bullying #childish #sorrynotsorry ” #HarpersFault #HarperMustGo #cdnpoli,sarcasm
60819,He is a great leader and this is not #sarcasm at all. hidup #malaysia ! http://t.co/3nuUOpiqn5,sarcasm
60820,"@Hotwire Thanks for giving my personal information and whereabouts out. Your security protocols are really great!
Thanks again. #sarcasm",sarcasm
60821,@Cdnmooselips33 @blawrie13 sure but we got to watch a random soccer match instead! #cbc #sarcasm,sarcasm
60822,The New Day needs a Caucasian member.... just saying #sarcasm #Battleground,sarcasm
60823,Real great healthy relationship #sarcasm  https://t.co/R06c7rd8a3,sarcasm
60824,"This is great, I get to see people live tweet wresting. Awesome. #sarcasm",sarcasm
60825,"@CanadianCroc WRONG! If u were bigger than them, you could kill um n eat um! There is a few people I would turn to chow right now! #sarcasm",sarcasm
60826,@Jonathan_Feigen so there is still a chance for the chuck wagon right 😂 #sarcasm,sarcasm
60827,#sarcasm is so on point tonite. Oh wait...am I allowed to say on point or will eyes roll? #myunpopularwhiteopinion,sarcasm
60828,"""Next on CNN; we attempt to interview the shark that attacked Mick Fanning on whether he knows anything about MH30."" - Wolf Blitzer #sarcasm",sarcasm
60829,"Really? Wow didn't know it was raining in LA from all the Tweets, Instagram photos, snapchats, etc ☔️ #sarcasm",sarcasm
60830,@smootholdfart @gerrybuddy @DonSmallman @adambluedryden @NWOdoctor I should be clear: I'm joking about all leaf tickets comments #sarcasm,sarcasm
60831,"@JebBush http://t.co/aYXx7mWdj3 your illegal voter purge, and constant #votersuppression tactics, thanks for that #sarcasm",sarcasm
60832,#WWEBattleground #Battleground C'mon Roman overcome those odds #sarcasm,sarcasm
60833,Man. Those have been some great clothes lines and shoulders from Reigns. #sarcasm #WWEBattleground,sarcasm
60834,Hey whats up 102° how are you #sarcasm #thisheatismakingmetalktomyself,sarcasm
60835,"@WrestlingSoup @solomonster Man, how bout that rookie Cena, huh? That kids gonna go places, I tell ya. #WWEBattleground #Sarcasm",sarcasm
60836,Now @FightOwensFight  is just a fluke. Yay Super Cena #sarcasm #WWEBattleground #cenaVsowens #supercena #cenasucks #sameoleshit,sarcasm
60837,"Wow, WWE announcers, way to sell us on that powerbomb counter from the top rope. #sarcasm",sarcasm
60838,Thanks @sonicdrivein for giving me so many onion rings on my meal. #sarcasm #sonic #hungry,sarcasm
60839,I have no aversions to having kids someday  😂😂😂 #sarcasm http://t.co/2NlYYxec7O,sarcasm
60840,There's something so calming about watching pine needles fester on my car seat. #sarcasm,sarcasm
60841,Another 15 hour work day tomorrow. This will be so much funn! #sarcasm,sarcasm
60842,@PitstickFarms @Fritolay Because potatoes are so expensive. #sarcasm,sarcasm
60843,"Photo: When someone says a dumb statement, the #sarcasm juices start to tingle. http://t.co/fcNF53omw8",sarcasm
60844,goodnight i have a cooking class tomorrow and i have to be up at 6am so that's really fun #sarcasm bye,sarcasm
60845,I really like the fact twitter is almost like facebook in some cases #sarcasm #noonecares!! #jk #forlaughsonly #ily #nobutseriously,sarcasm
60846,I'm selfish for wanting a life that makes me happy? Right. Exactly. Makes so much sense. #sarcasm,sarcasm
60847,4 hour layovers are the best. #sarcasm,sarcasm
60848,@ReformedBroker don't you understand? All going according to plan. Shaking out paper $ to allow the real buyers to own it cheaper. #sarcasm,sarcasm
60849,@dustinmain Oh. Sounds perfectly logical. #sarcasm,sarcasm
60850,@Aportzline @schubertpr79 ... That great support the Barons received in the mid 1970s? #Sarcasm,sarcasm
60851,Undertaker vs. Brock Lesnar at Summer Slam plus an NXT show... Yeah I'm totally not upset it's not in LA this year. #sarcasm,sarcasm
60852,I guess Charlotte is Ric Flair's daughter. Who knew? #Sarcasm #DivasTripleThreat #WWEBattleground,sarcasm
60853,Cena won? Who saw that coming #WWEBattleground #sarcasm #gettingold,sarcasm
60854,@JayViscant we won BB tho yaaaaaay #sarcasm #ratherwinsf #oratleastmarvel,sarcasm
60855,All i do is catch monsters.. #sarcasm http://t.co/ddch21z7Bv,sarcasm
60856,@MeanStreetsOMA Your feed is doing wonders for rentals at Tudor Heights. #sarcasm,sarcasm
60857,Well that's just awesome. #sarcasm  https://t.co/mLvWh9F3IE,sarcasm
60858,"Whatever you do, don't blame radical Islam guys... #Sarcasm ~PB http://t.co/rDL8d9FViH",sarcasm
60859,"Sarcasm? What, you mean #Tigers fans don't view Gorzelanny activation as ""good"" news? #Sarcasm https://t.co/4MCVY3BHqw",sarcasm
60860,Coughing my lungs out is cool. 😷 #sarcasm,sarcasm
60861,"@insanityreport @TheWoundGod yeah, HBO, make something or sell wine glasses. You're just asking people to pay for shows! #sarcasm",sarcasm
60862,@TWC_Help it's getting better! #sarcasm http://t.co/EFz6ZSSzQk,sarcasm
60863,"I love it when you try to help me with my flaws.  No really, I had no idea they were there. #sarcasm #nojustno",sarcasm
60864,@TheTechniqueSMC If / When it happens to his beloved West Ham I'll look forward to seeing his piece slating them off - haha #sarcasm,sarcasm
60865,One thing I love is calls at 1:45am. I think it's impossible to underestimate how much I enjoy these calls. #sarcasm,sarcasm
60866,@wilw Why do I get the feeling you like games? #sarcasm,sarcasm
60867,@beller_bill @StaunchA Oh well if you run 10 miles a day and compete in marathons that completely changes my opinion of you. #sarcasm,sarcasm
60868,"Back in the office today, been looking forward to it #sarcasm #wageslave",sarcasm
60869,"@STL_Cards_nut Put that in a threat letter to Dave Stewart. If Cards will hack computers, we can also threaten GMs. #Sarcasm",sarcasm
60870,"Being sarcastic is not easy! 
:P #Sarcasm http://t.co/aLEv5BUMGy",sarcasm
60871,Aamir calls #BajrangiBhaijaan as Salman's best movie yet! You decide whether it's #sarcasm or a compliment!,sarcasm
60872,Did #mickfanning 's business idea get rejected by #SharkTank ? I can find info on it on the net anywhere. #sarcastic,sarcasm
60873,@megturney Sorry you can't understand my #dark sense of humor... #sarcasm,sarcasm
60874,#work #yay #sarcasm #fuck #goodnight 😔 @ G Town https://t.co/wA4p63LImD,sarcasm
60875,@nermerker @YorkshireTea Me and thee are proper gonna fall out I tell thee. #sarcastic #whatarefriendsfor,sarcasm
60876,Here we go another day in paradise #sarcasm,sarcasm
60877,@Colbslaw hey man can y'all play free bird? #sarcasm,sarcasm
60878,"The good thing about jet lag is that you get to wake up early and be wide awake even if you don't want to be...
#sarcasm #jetlag #nlckenya15",sarcasm
60879,quotestags_app #funnyquotes #insult #sarcasticquotes #sarcasm  #quote #quotestags https://t.co/bTB5knXbIY,sarcasm
60880,"@Ajkiwi that's ok - don't teachers sit on their butts all day, anyway? #sarcasm",sarcasm
60881,"Timing with the U.S. Cuba quarterfinal is interesting...
#sarcasm https://t.co/1LcoUncGMQ",sarcasm
60882,@iDizzy81 @XboxQwik @melece1 logical excuse. #sarcasm,sarcasm
60883,"I'm so glad I pay £33.90 a week to use @ScotRail what with the windows letting in rain, well worth it #sarcasm 😐🌂☔️ http://t.co/IkFDYvdFmd",sarcasm
60884,Off to spend 36 hours in my most favourite city in all of Canada...  #Toronto #sarcasm,sarcasm
60885,#sarcasm WOW! Look at that! Another Peter Pan film! That's awesome! It's exactly the sort of creative thinking that we need right now!,sarcasm
60886,.@SpiritAirlines customer service is on point. #sarcasm,sarcasm
60887,And I'm sure traditional busses have never broken down #sarcasm https://t.co/qrxphRdggk,sarcasm
60888,"@shimonips @FoneArena don't cover it up with #sarcasm , You are on Cloud9",sarcasm
60889,"I've been wearing a lot of #green lately 
Does this mean anything? :p #sarcasm",sarcasm
60890,The NRA is advertising on Tumblr. I see no possible way this could end badly. #sarcasm http://t.co/yuBNQBYmc2,sarcasm
60891,@BigBlue1180 @Burning4Buddy @ChristieC733 @USMC and how about all the tornados Obama is causing he got to go #sarcasm,sarcasm
60892,"@BBCWorld @BBCNews Gee, think it has anything to do with all the Libertarians buying it up in panicked paranoia? #sarcastic",sarcasm
60893,37 million? Well that's depressing. Too bad for the cheaters. #sarcasm #scorn #ridicule #enjoyKarma http://t.co/Signs7i0s5,sarcasm
60894,"Vodka mixes well with everything, except DECISIONS 😜 #vodka #sarcasm",sarcasm
60895,So thankful for this explanation. #sarcasm @RebeccaBream @LydiaRTV6 @Lauren_Casey @AshleyBrownWX @ambock @AnneKellyRTV6,sarcasm
60896,"Good job photoshopping this girl to look like she's plus size, @Forever21 you guys did a great job #sarcasm #fuckyou http://t.co/rkz00ZqG14",sarcasm
60897,An old article written way back in 2013 - Stock Trading is a very easy Business - http://t.co/cbQCODgyT2  #sarcastic,sarcasm
60898,"If STD was game, you could have won Olympics Gold Model 9 times. @causticbob #Sarcasm",sarcasm
60899,@MAS I'm sure that the customer srvice team will do everything they can just like they do for the 100s of othr complaints they get. #sarcasm,sarcasm
60900,"@TheErnstReport well ok then, u make a valid point. I really agree with the post I forgot to type #sarcasm ps love u guys, great stuff",sarcasm
60901,"I see #CBC brought out their vintage #GoJetsGo ""HD"" cameras to cover this #CANvsUSA #PanAm2015 baseball game. Good job! #sarcasm #fail",sarcasm
60902,@Cly_Faker I was kidding ... #sarcasm,sarcasm
60903,"@FoneArena Yes, finally!!! :D
I was waiting for 144p! #sarcasm",sarcasm
60904,seen on IG Feed Hello #type #lettering #typography #handdrawn #handwrittenfont #typegang #mondays #yay #sarcasm by … http://t.co/lwmyhs1NeF,sarcasm
60905,Cherry on top of an amazing night 😊 #sarcasm,sarcasm
60906,No not at all #sarcasm,sarcasm
60907,@RizMokal In furious agreement. Now replies have crossed. My original post was too long to include #sarcasm,sarcasm
60908,"It is only the HR who finds #mondaymorning cheerful, wonderful and motivational. #truestory #MondayBlues #HRSucks #Sarcasm",sarcasm
60909,@netizenbuzz do you have another interesting topic about our taeyeon? i would like to subscribe. #sarcasm,sarcasm
60910,@ConstableChaos That's for iTunes bought stuff... not ripped CD's that you bought and own. #dirtypirate #sarcasm @Defencebrief @XenoPoesis,sarcasm
60911,I love walking on Georgia mornings when it's only 74° and the crazy low humidity is only 96%! #sarcasm #yettrue,sarcasm
60912,What lovely summer weather we have here in The Capital #sarcasm,sarcasm
60913,Don't you love when people piss you off and then ask you what your problem is later? Cause I love it. I just want it to cum in me #Sarcasm,sarcasm
60914,"Sitting in an IHOP, it was lovely #sarcasm",sarcasm
60915,@classysportsfan Like the @STL4Bernie group. Totally fake bunch of kids. #sarcasm http://t.co/3KqJ4nTWxL,sarcasm
60916,@netizenbuzz I never know u r taeyeon fan let me hug u 😙😙😙 #sarcasm,sarcasm
60917,I don't understand why I don't have more followers. Honestly my life is thrilling. #Sarcasm http://t.co/cjrR1kRbly,sarcasm
60918,"Most wanted dacoit killed by police in Shikarpur. Thank you, DG Rangers. #sarcasm http://t.co/igkDhVePG0",sarcasm
60919,@hooriaKhaan  reality.!!  Agreed ! But fan off kar kay on karna b bhol jatay hain. And that is reality too . #Sarcasm 😉,sarcasm
60920,"ROFLMAO yeah, because ADDING is not an INCREASE #SARCASM @RBRNet9 @MrMathMan31415 @JoeFL65 @ZOSecretService @ManNurse5 @ken_malinowski",sarcasm
60921,@Stooshie its as closely related as Andrews original claim that evolution and entropy #sarcasm,sarcasm
60922,Quick rt that throwing money vine I've not seen it 30 times in the last 30 seconds #sarcasm,sarcasm
60923,@NME he must be fucking gutted #sarcasm,sarcasm
60924,4 am and it's time to get ready for work and it's still drizzling outside! 😡 today should be interesting. I love working in mud! #sarcasm,sarcasm
60925,"Way to go @Chase! Your email #fraud alerts look just like a #phishing email, complete with links to a non-Chase site. #sarcasm #InfoInSec",sarcasm
60926,my eye hurts when i poke it well don't poke it then you idiot #statetheobvious #sarcasm #sarcastic #usefulhints #hintsandtips,sarcasm
60927,"@EllieAsksWhy Oops, forgot to tag #sarcasm",sarcasm
60928,This girl can't wait to shop on Michigan Ave. #sarcasm #hateshopping,sarcasm
60929,Italy will pay 17.5 billion euros to save Greece. Every Italian will pay 400 euros of more taxes. Well done Europe! #sarcasm #Tsipras #eu,sarcasm
60930,Cena wins again. Yawn. What creative booking. #Sarcasm #CenaSucks #WWEBattleground,sarcasm
60931,"John McCain is a war hero! He's entitled to run America into the ground, because after all, he's the one that saved it! #fail #tcot #sarcasm",sarcasm
60932,@SavageNation Good thing the U.S. Congress has 60 days to reviewed it &amp;  explained it to We The People and if necessary reject it! #sarcasm,sarcasm
60933,@SyfyUK @planetjedward what a time to be alive... #sarcasm,sarcasm
60934,"@RossCoppley and you, as a man, have complete control over how women live their lives. Ok! #sarcasm",sarcasm
60935,Arrived at just the right time. #sarcasm http://t.co/J0d9QkXFKV,sarcasm
60936,Glad I got a lot of sleep last night #sarcasm,sarcasm
60937,"This Chinese illness is going around the country - especially on Mondays!

#Monday #sarcasm #tired http://t.co/gr0S8gwV5F",sarcasm
60938,Know what's not awkward? Running into a former students' parent in the ob/gyn waiting room. #sarcasm #awkwardsmalltalk #judgylooks,sarcasm
60939,Loving the @BBCSport coverage of #TheOpen  #Sarcasm,sarcasm
60940,@JessieJ should really go to sleep love catching the bus to school in the morning 😎😣😴 #sarcasm,sarcasm
60941,@MarcPDumont wow great career move becoming his new new agent #sarcasm,sarcasm
60942,This Ashley Madison hack almost certainly has divorce lawyers salivating; it's gonna be a terrific day in a lot of homes today #sarcasm,sarcasm
60943,So the stomach bug is going around our office #probablyupnext #great #sarcasm,sarcasm
60944,Good thing it won't be hot today... #sarcasm - @LaurenWAVE3TV http://t.co/545bARBLg6,sarcasm
60945,Thank you for your nice comments about me @StrawberryZoe # #sarcasm,sarcasm
60946,"@sexysportsfan Pretty sure I was hating on ESPN, but whatever. You sure showed me! It burns! It burns! #sarcasm",sarcasm
60947,@KarakDamnaz it was a horrible sarcastic guess. If it's right then I am not only sorry for spoilers but for bad writing. #Spoiler #Sarcasm,sarcasm
60948,It's only been out for 2 years though I'm sure they'll fix it. #sarcasm,sarcasm
60949,Amen. Though their should have been a drug disclaimer for the audience. #Sarcasm  #MrRobot  https://t.co/4gaLxepyZh,sarcasm
60950,"Sarcasm T-Shirt.

#сарказм #sarcasm #classic beautiful things, for the beautiful life. #fancylife… https://t.co/tOqOpjKfNl",sarcasm
60951,@StoubHayden Probably my liberal side coming through right? #sarcasm #ASSuming,sarcasm
60952,When computers try to understand human sarcasm. :) Very interesting. http://t.co/wfewMO1FWs #sarcasm #algorithms,sarcasm
60953,Welker still a free agent #nfl #freeagency #notsurprised #sarcasm #PatriotsNation #butterfingers http://t.co/PZje3mlOUQ,sarcasm
60954,"Wow, the Red Line packed and overcrowded on a Monday! How extraordinary @wmata! #sarcasm #getittogether",sarcasm
60955,"Here's the 'anti-national' @ShashiTharoor supporting British rule in India at Oxford. #sarcasm 
 https://t.co/yeF67t3LQP",sarcasm
60956,So...not many 2d classical animation jobs around. Who knew? #sarcasm,sarcasm
60957,#qanda but how much coal power does it take to power one of those wind farms? #sarcasm,sarcasm
60958,Well done to the BBC not showing the final day of the golf until later on. #sarcasm,sarcasm
60959,Work done for the day now to go home and strip wash Lolas nappies. My life is nothing if not glamorous #sarcasm,sarcasm
60960,"The person who tries to keep everyone happy often ends up feeling the loneliest.

Altaf Hussain

#Sarcasm",sarcasm
60961,Wow.Keep me on a 100 deg plane delayed for an hour w/rude staff and this is ur response?apology accepted #sarcasm https://t.co/d66wZyIMPY,sarcasm
60962,@VictorShikhman @havivrettiggur @BenJacob_1 Maybe they are lying. #sarcasm,sarcasm
60963,Want to prevent the ice-melting on the North Pole? Send the ice-cold Wolfgang Schäuble there. #sarcasm,sarcasm
60964,Good thing it won't be hot today....ugh. #sarcasm http://t.co/7uJYLOX0ki,sarcasm
60965,Starting my week out right #Fitness #lol #sarcastic #humor #workout #squats Down to look into #fridge… https://t.co/E5RJkxuekl,sarcasm
60966,Two assists 1st game then over looked for the next two games feel sorry for texiera but Allen plays yay #sarcasm,sarcasm
60967,"Bronny been getting away with it for years ... making eyes at the boys in cabinet .. all cute and minxy. 
#sarcasm",sarcasm
60968,@NorwichCityFC @ErreaOfficial That'll sell well... #sarcasm you must have decided that you didn't need the extra money. #ncfc,sarcasm
60969,"#ThePerfectStartToMyDay is sitting in mind-numbing meetings until lunch. 
#sarcasm 
@skreened",sarcasm
60970,"@HipHopCleopatra
Yeah, there is also Jazz. #Sarcasm",sarcasm
60971,Thank you for your 300 second snapchat story of a concert because that was needed #sarcasm,sarcasm
60972,"Nah, I'm sure they aren't mad for being ignored.

#Sarcasm #NeverForget #Venezuela",sarcasm
60973,thank you for ruining my day everyday 😃 #sarcasm,sarcasm
60974,I think it's been a pretty good day so far. #SeePreviousTweet #Sarcasm,sarcasm
60975,"@akaScramz @WFODicks

BOOM!  

#sarcasm",sarcasm
60976,@LaborFAIL @John_Poelwyk @NeverVoteLabor they all do it? I'm shocked! #sarcasm,sarcasm
60977,Great start to the day 👎🏼 #sarcasm,sarcasm
60978,He sure told him! #sarcasm 😂😂 https://t.co/jjnMo3Mjw2,sarcasm
60979,"We literally stopped in the middle of nowhere I love the overground so much
#sarcasm",sarcasm
60980,Final poor that AAP is essentially the Congress Lite. #Sarcasm #bhaktsgonuts https://t.co/IuLwARFqie,sarcasm
60981,@ClevelandChick well I'm going out soon. I'll just love it. #sarcasm,sarcasm
60982,"@canadiancynic First, site is not accessible on my iPhone. Second, stop confusing the simple. #sarcasm #cdnpoli",sarcasm
60983,I Can't wait to get on the road again. #sarcasm,sarcasm
60984,Probably making my return to six flags hurricane harbor today… This will be fun #sarcasm,sarcasm
60985,"That's what I love to do n do on Twitter 😊😜😂.. Actually, I can't tolerate false criticism on boys 😆😜
#sarcasm  https://t.co/8ZWYl5dsoi",sarcasm
60986,Nothing like waking up knowing you get to flip burgers today. #sarcasm,sarcasm
60987,"Selling Flamini will make Mesut Ozil sad and the
only cure for his sadness will be Arsenal signing Karim
Benzema. #Afc 
#LOL #Sarcasm",sarcasm
60988,@iowahawkblog @MignonFeldstein poor thing! #tcot #Sarcasm http://t.co/s99tvSYtNV,sarcasm
60989,@BTPManchester You have to train someone to use Twitter??? #Sarcasm,sarcasm
60990,I won a lottery entry.... YAY #Sarcasm #SPAM,sarcasm
60991,"#americaonpoint Thank you for this ""perfect"" representing of the US White-Pride!!! #sarcasm",sarcasm
60992,"Yay I #failed uni subject #sarcasm #fml #kmn

#mentalillness  you suck ass!",sarcasm
60993,No one saw this coming #Sarcasm  https://t.co/TJIdlsw7Mc,sarcasm
60994,@670TheScore why would they? They are an awesome team! #sarcasm #blowitup #theysuck,sarcasm
60995,"Rahm has solved crime, budget &amp; pension issues, thus he's in France's to work on trade... @RahmTruthTeam @PeterNickeas #sarcasm",sarcasm
